Название,Тип,Монеты,Класс,Комментарий,Очки
Остановка движения противников (на некоторое время),призы,серебро,элемент,,1
Временная дезориентация (курсорные клавиши меняются),антиприз,серебро,элемент,,1
"Случайный приз (не известно, что он значит, пока не собрать его)",призы,серебро,элемент,,1
Появляются время от времени,призы,серебро,поведение,,1
Появляются во время взрыва препятствия,призы,серебро,поведение,(с определённой вероятностью),1
Появляются по мере достижения определённых этапов или позиций игры,призы,серебро,поведение,,1
"Если не может дальше расширяться, превращается в кристаллы/монеты",расширение,серебро,элемент,,1
Шарик или выстрелы проходят сквозь него,расширение,серебро,элемент,,1
"Если не может расширяться, превращается в камни",расширение,серебро,элемент,,1
Ядовитая субстанция,расширение,серебро,элемент,,1
"Непроходимая, но уничтожимая субстанция",расширение,серебро,элемент,,1
Непроходимая неуничтожимая субстанция,расширение,серебро,элемент,,1
Необязательные монетки,элемент,серебро,элемент,"(можно собирать и получать очки, необязательные)",1
Лёд,элемент,серебро,элемент,(на котором происходит скольжение игрока и противников),1
Динамит,элемент,серебро,элемент,"(если на него двинуть камень или выстрелить, взорвётся)",1
Энерджайзер,элемент,серебро,элемент,(противники временно начинают убегать от нас),1
Неподвижные ловушки,элемент,серебро,элемент,"(игрок погибает, когда попадает в них)",1
Лес,элемент,серебро,элемент,(в зарослях которого почти не видно игрока и противников),1
Точка сохранения,элемент,серебро,элемент,(при погибании возвращаемся в неё),1
Пряталка,элемент,серебро,элемент,(в ней можно спрятаться от врагов),1
Преобразователь,элемент,серебро,элемент,(камни при падении на него становятся кристаллами),1
Золото или кристаллы,элемент,серебро,элемент,"(нужно собрать определенное количество, чтобы пройти уровень)",1
Камни,элемент,серебро,элемент,"(падают вниз, могут убить игрока)",1
Лестница,элемент,серебро,элемент,(для перемещения по вертикали),1
Натянутая веревка,элемент,серебро,элемент,(для перемещения по горизонтали),1
База,элемент,серебро,элемент,(которую надо защитить от врагов),1
Невидимая мина,элемент,серебро,элемент,,1
Случайное перемещение,противник,серебро,элемент,,1
Простое движение,противник,серебро,элемент,"(например, по кругу или вперёд-назад и т.п.)",1
Движение по периметру,противник,серебро,элемент,"(например, поворачивая всегда направо)",1
Может проходить сквозь стены,противник,серебро,элемент,,1
