Категорія,Коротка назва,Coin,Над-категорія
Сутності: Фунціонал сутностей,"Чекання персонажа ",,Сутності (entities)
Сутності: Фунціонал сутностей,Взаємодія з мапою,,Сутності (entities)
Функціонал гри,Умова перемоги: винести конкретний предмет,,Функціонал гри
Програмне створення рівнів,Генерація лабіринту,🟡,Рівні (levels)
Програмне створення рівнів,Знаходження найдовшого шляху,🟡,Рівні (levels)
Інтерфейс: Графічні таски,Зміна цвітової гами,,Інтерфейс
Функціонал гри,Система ключів та дверей,,Функціонал гри
Функціонал гри,Дослідження тайлів,,Функціонал гри
Сутності: Фунціонал сутностей,Зона видимості противника,,Сутності (entities)
Сутності: Фунціонал сутностей,Машина станів ворога,,Сутності (entities)
Функціонал гри,Інвентарна система,,Функціонал гри
Функціонал гри,Лог гри,,Функціонал гри
Функціонал гри,Рандомізація атаки,,Функціонал гри
Сутності: Фунціонал сутностей,Система енергії,,Сутності (entities)
Інтерфейс: Віконця або блоки,Інвентар,,Інтерфейс
Інтерфейс: Відображення інфи,Спливаючий текст,,Інтерфейс
Функціонал гри,Зменшення урону за наявною зброею,,Функціонал гри
Функціонал гри,Мінігра: вчасно натиснути кнопку,,Функціонал гри
Інтерфейс: Інше,Реюзабельне меню вибору,,Інтерфейс
Функціонал гри,Шанс появи у біомі з унікальною клітинкою-ресурсом,🟤,Функціонал гри
Інтерфейс: Відображення інфи,Кількість доступних яблук,🟤,Інтерфейс
Інтерфейс: Відображення інфи,Поточна міцність кирки,🟤,Інтерфейс
Інтерфейс: Відображення інфи,Загальна міцність кирки,🟤,Інтерфейс
Інтерфейс: Відображення інфи,Кількість доступних тотемів,🟤,Інтерфейс
Сутності: Переміщення по полю,Переміщення: алгоритм A* (a star) до гравця,🟡,Сутності (entities)
Сутності: Параметри сутностей,,,Сутності (entities)
Функціонал гри,-2 бали с зіткненям предмету,🪙,Функціонал гри
Функціонал гри,-2 бали с зіткненям бомби та - 1 життя,,Функціонал гри
Функціонал гри,"-2 бали с зіткненням бомби - 1 життя ",Система скілів + апгрейдів,Функціонал гри
Функціонал гри,"Скини на всі предмети, поля, карти, персонажів.",🪙,Функціонал гри
Функціонал: Поразка,"Якщо програв, та втратил 4 життя приходить куриця і вбиває тебе.",,Функціонал гри
Інтерфейс: Графічні таски,"Складна графічна математика ",🟡,Інтерфейс
Алгоритми,QuadTree,🟡,Алгоритми
Сутності: Фунціонал сутностей,"Снаряд що не знищується при попаданні, постійно наносячи урон (лазер)",,Сутності (entities)
Сутності: Фунціонал сутностей,,,Сутності (entities)
Інтерфейс: Графічні таски,Анімація взриму бомби,,Інтерфейс
Інтерфейс: Графічні таски,Анімація бомби,,Інтерфейс
Інтерфейс: Графічні таски,Анімація взриву блоку стіни,,Інтерфейс
Функціонал гри,Бонусні предмети за руйнівними стінами,,Функціонал гри
Функціонал гри,"Перехід до наступного рівня, якщо всі вороги вбиті та дверцята знайдені, гравець увійшов у дверцята",,Функціонал гри
Функціонал: Перемога,,,Функціонал гри
Функціонал гри,Якщо намагатися знищити дверцята (для переходу до наступного ріня) заспавняться найсильніші вороги,,Функціонал гри
Інтерфейс: Віконця або блоки,,,Інтерфейс
Інтерфейс: Віконця або блоки,Шкала здоров’я (HP bar) противника,🟤,Інтерфейс
Python: Бібліотеки,pyodbc,🟡,Python
Функціонал: Перемога,"Перемога, якщо всі вороги знищені",,Функціонал гри
Інтерфейс: Графічні таски,Анімація ворогів,,Інтерфейс
Функціонал гри,Звук взриву бомби та ін.,,Функціонал гри
Функціонал: Поразка,🏳️Поразка: якщо знищено базу,🟤,Функціонал гри
Функціонал: Поразка,,,Функціонал гри
Функціонал: Перемога,"Перемога, якщо пройшли до кінця та не потрапили на бомбу",,Функціонал гри
Функціонал: Поразка,"Поразка, якщо потрапив на бомбу",,Функціонал гри
Функціонал гри,-1 життя при введені неправильної цифри,,Функціонал гри
Функціонал: Перемога,Перемога при повністю вірно заповненому полі,,Функціонал гри
Функціонал: Поразка,"Поразка при втраті всіх життів (easy, medium, hard)",,Функціонал гри
Функціонал: Поразка,"Поразка при хоча б одній невірно заповненій, чи взагалі незаповненій, клітині (like paper)",,Функціонал гри
Інтерфейс: Віконця або блоки,Екран при виграші,,Інтерфейс
Інтерфейс: Віконця або блоки,Перелік ачівок (виділені ті які вже здобуті),,Інтерфейс
Інтерфейс: Результати гри,"Кількість помилок (easy, medium, hard)",,Інтерфейс
Інтерфейс: Відображення інфи,Життя (відображаються і наявні і втрачені),,Інтерфейс
Інтерфейс: Відображення інфи,Шкала заповнення поля,,Інтерфейс
Інтерфейс: Відображення інфи,"Перелік всіх чисел, котрі “втрачають” колір коли їх достатньо на полі",,Інтерфейс
Інтерфейс: Відображення інфи,"Підсвітка колонки, строки та блоку в яких знаходиться гравець",,Інтерфейс
Інтерфейс: Відображення інфи,Підсвітка клітинок в яких такі самі числа як і в обраній,,Інтерфейс
Інтерфейс: Інше,Керування клавіатурою,,Інтерфейс
Функціонал гри,Коректна взаємодія з клітинкої на основії ії характеристики,,Функціонал гри
Функціонал гри,ability,,Функціонал гри
Функціонал гри,Накладати флажок на клітинку,,Функціонал гри
