Категорія,Коротка назва,Coin,Над-категорія
Функціонал гри,Особливість: не можна рухатись вліво,🟤,Функціонал гри
Інтерфейс: Графічні таски,"Розмір кнопок збільшується пробілами, щоб мати однакову ширину",🟤,Інтерфейс
Інтерфейс: Пункти меню,"🛒 Обмін: Обираємо ресурс, який міняємо",🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Обмін: Плюс-мінус кількість ресурсу,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Обмін: зміна режиму покупка-продаж,🟤,Інтерфейс
Інтерфейс: Пункти меню,🛒 Обмін: обміняти обрану кількість,🟤,Інтерфейс
Функціонал гри,Розрахунок курсу в залежності від ресурсів у всіх гравців,🟤,Функціонал гри
Сутності: Параметри сутностей,📊 Статистика: Кількість алмазів,🟤,Сутності (entities)
Сутності: Параметри сутностей,📊 Статистика: Кількість зібраних ресурсів,🟤,Сутності (entities)
Сутності: Параметри сутностей,📊 Статистика: Кількість смертей (від лави),🟤,Сутності (entities)
Сутності: Параметри сутностей,📊 Статистика: Кількість викопаних ресурсів за весь час гри,🟤,Сутності (entities)
Функціонал гри,"Режим, коли ми бачимо всі ресурси",🟤,Функціонал гри
Функціонал гри,"Режим, коли ми бачимо ресурси лише поряд із гравцем",🟤,Функціонал гри
Інтерфейс: Пункти меню,"#️⃣ Пагінація для результатів (наступна, попередня сторінка)",🟤,Інтерфейс
Python: Бібліотеки,discord bot,🟡,Python
Python: Бібліотеки,SQL Alchemy,🟡,Python
Python: Бібліотеки,sqlite,🔵,Python
Python: Lab #1,🟦 1. Вивести ігрове поле на екран,🔵,Python
Python: Lab #1,🟦 2. Зчитати клавішу з клавіатури,🟢,Python
Python: Lab #1,🟦 3. Перемістити гравця на полі,🔵,Python
Python: Lab #1,"🟦 4. Перевірити клітинку, на яку натрапив гравець",🟢,Python
Python: Lab #1,🟦 5. Організувати ігровий цикл,🔵,Python
Python: Lab #1,🟦 6. Створити та використати декілька власних функцій,🟢,Python
Python: Lab #1,🟩 1a. Типи данних: str,🟢,Python
Python: Lab #1,🟩 1b. Типи данних: int або float,🟢,Python
Python: Lab #1,🟩 1c. Типи данних: bool,🟢,Python
Python: Lab #1,🟩 1d. Типи данних: NoneType,🟢,Python
Python: Lab #2,🟦 1. Матриця для елементів клітинного поля,🔵,Python
Python: Lab #3,🟦 1. Класи,🟢,Python
Python: Lab #4,🟦 1. Винятки,🟢,Python
Python: Lab #5,Веб-сторінка,🟤,Python
Python: Lab #2,🟦 2. Словники,🟢,Python
Python: Lab #2,🟦 3. Завантажити з текстового файлу,🔵,Python
Python: Lab #2,🟩 1. Зрізи,🟢,Python
Python: Lab #2,🟩 2. Спискові включення (list comprehension),🟢,Python
Python: Lab #2,🟩 3. Кортежі,🟢,Python
Python: Lab #2,🟩 4. Зіркові параметри,🟢,Python
Python: Lab #2,🟩 5. Множини,🟢,Python
Python: Lab #2,🟩 6. Зберегти у текстовий файл,🔵,Python
Python: Lab #2,🟩 7. Двійкові (бінарні) файли,🔵,Python
Python: Lab #1,"🟩 2a: Умовні команди: if, elif, else",🟢,Python
Python: Lab #1,"🟩 2b: Умовні команди: and, or, not",🟢,Python
Python: Lab #1,🟩 2c: Умовні команди: a < b < c,🟢,Python
Python: Lab #1,🟩 3a: Цикли: for,🟢,Python
Python: Lab #1,🟩 3b: Цикли: while,🟢,Python
Python: Lab #1,🟩 3c: Цикли: range,🟢,Python
Python: Lab #1,🟩 3d: Цикли: continue,🟢,Python
Python: Lab #1,🟩 3e: Цикли: break,🟢,Python
Python: Lab #1,🟩 3f: Цикли: else,🟢,Python
Python: Lab #1,🟩 4a: Функції: optional (keyword) parameters,🟢,Python
Python: Lab #1,🟩 4b: Функції: * та / у списку параметрів,🔵,Python
Python: Lab #1,🟩 4c: Функції: лямбда-вирази черзе lambda,🟢,Python
Python: Lab #1,🟩 4d: Функції: вбудовані,🟢,Python
Python: Lab #1,🟩 4e: Функції: вкладені,🟢,Python
Python: Lab #1,🟩 5a: Область видимості: global,🟢,Python
Python: Lab #1,🟩 5b: Область видимості: nonlocal,🟢,Python
Python: Lab #3,🟦 2. Спадкування,🟢,Python
Python: Lab #3,🟦 3. Системний метод (типу __назва__),🟢,Python
Python: Lab #3,🟩 1. Підкреслення в іменах,🟢,Python
Python: Lab #3,🟩 2. Більше системних методів,🟢,Python
Python: Lab #3,🟩 3. Властивості (properties),🔵,Python
Python: Lab #3,🟩 4. Множинне спадкування,🟢,Python
Python: Lab #4,🟦 2. Модулі,🟢,Python
Python: Lab #4,🟦 3. Пакети,🟢,Python
Python: Lab #4,🟦 4. Анотації типів,🟢,Python
Python: Lab #4,🟩 1. Послідовності,🟢,Python
Python: Lab #4,🟩 2. Генератори,🔵,Python
Python: Lab #4,🟩 3. Лексичне замикання,🔵,Python
Python: Lab #4,🟩 4. Декоратори,🔵,Python
Python: Lab #4,🟩 5. Тестування,🔵,Python
Супровід,"Github-репозиторій
",🟢,Супровід
Відео-демки,🎮 Коротка демонстрація гри (до 1 хв.),🟤,Супровід
Супровід,Короткий опис гри,🟤,Супровід
Відео-демки,🎮 Повна демонстрація гри (до 5 хв.),🟤,Супровід
Відео-демки,🔐 Асинхронний захист (пояснення по коду),🟤,Супровід
Сутності: Фунціонал сутностей,Елемент керується гравцем,🟤,Сутності (entities)
Сутності: Переміщення по полю,Переміщення: вниз по спіралі,🟤,Сутності (entities)
Сутності: Переміщення по полю,Переміщення: зігзагами вниз,🟤,Сутності (entities)
Сутності: Фунціонал сутностей,Стріляє двома патронами нахрест,🟤,Сутності (entities)
Python: Бібліотеки,tlinter,⚪,Python
Функціонал гри,Механізм променів для “видимості” клітинок (стінок в тому числі) (анастасія),🟡,Функціонал гри
Неігрові монетки,Неігрова бронзова монетка,🟤,Інше
Неігрові монетки,Ігрова бронзова монетка,🟤,Інше
Python: Бібліотеки,pygame,🟡,Python
Інтерфейс: Відображення інфи,FPS,🟤,Інтерфейс
Інтерфейс: Відображення інфи,Напрямок руху гравця,🟤,Інтерфейс
