name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Использование git-репозитория,Разместите ссылку на git-репозиторий в описании отчёта,1,,,Репозиторий,Основа,,,,,,false,25,tasks
Видео-демки,"Загружайте демки в YouTube или Google Drive или прикрепляйте в виде GIF'ок.\nВ каждом задании могут быть свои мини-демки и мини-гифки, но в этом пункте подразумеваются некоторые итоговые комплексные демки, показывающие общий геймплей или все реализованные возможности.\nМожете размещать здесь также и прошлые версии демок (помечая их в тексте).\nЗадание можно продублировать если демонстрационного материала действительно много",1,,,Видеодемки,Основа,,,,,,false,24,tasks
Точка остановки,Идея взята из базового варианта игры Инерция\nНа такой точке игрок приостанавливает своё движение и может выбрать новое направление,1,,,Прочие,Элемент,,🏂 7: Inertia,,,,false,4,tasks
Остановка движения игрока на точке остановки,↑ основное свойство точки остановки,1,,,Прочие,Свойство,,🏂 7: Inertia,,,,false,2,tasks
Цветные клетки,"Здесь подразумевается, что разные игровые элементы имеют разные цвета",1,,,Интерфейс,Интерфейс,,Почти во всех играх,,,,false,16,tasks
Музыкальное сопровождение,Фоновая музыка,1,,,Интерфейс,Интерфейс,,Почти во всех играх,,,,false,18,tasks
Звуковое сопровождение,Звуки при определённых обстоятельствах,1,,,Интерфейс,Интерфейс,,Почти во всех играх,,,,false,14,tasks
Песок,"Проходимая для игрока сущность, но непроходимая для противников и камней",1,,,Препятствие,Элемент,,💎 2: Boulder Dash,,,,false,6,tasks
Уничтожение песка,"Уничтожение песка, когда на него наступает игрок",1,,,Препятствие,Свойство,,💎 2: Boulder Dash,,,,false,4,tasks
Основной игрок,"Основной управляемый игровой элемент, присутствующий почти во всех играх",1,,,Игрок,Элемент,,Почти во всех играх,,,,false,30,tasks
Второй игрок,"Для случаев, когда игра на двоих (либо по сети, либо за одним компом)",1,,,Игрок,Элемент,,"💰 4: Lode Runner,💥 5: Battle City",,,,false,3,tasks
Летящий мячик,Основной игровой элемент для New Ball Game\n(отбивается от стен и диагональных щитов)\nОднако он может быть опциональным игровым элементом и в других играх,2,,,Игрок,Элемент,,🧿 3: New Ball Game,,,,false,2,tasks
Текущий “курсор”,Для игры New Ball Game это указатель позиции для вставки диагонального щита\nОднако это задание можно использовать и для других игр для других целей :),1,,,Игрок,Элемент,,🧿 3: New Ball Game,,,,false,3,tasks
Управление курсорными клавишами,Основной стандартный способ управления игроком или курсором,1,,,Игрок,Свойство,,Почти во всех играх,,,,false,17,tasks
Возможность движения игрока по диагонали,"Возможность для игрока двигаться по диагонали\n(для этого можно использовать либо цифровую клавиатуру, либо буквенные клавиши, либо вообще дать возможность пользователю самому настраивать клавиши)",1,,,"Игрок,Движение",Свойство,,🏂 7: Inertia,,,,false,2,tasks
Разные иконки направлений,"В зависимости от того, куда направлен игрок ー будет и отображается разная иконка для него",1,,,Игрок,Интерфейс,,💥 5: Battle City,,,,false,14,tasks
Клетка финиша,По достижении которой игрок побеждает или проходит на следующий уровень,1,,,Финиш,Элемент,,"💎 2: Boulder Dash,💰 4: Lode Runner,🧨 6: Mined-Out,💣 8: Bomberman",,,,false,8,tasks
Миноискательность игрока,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",1,,,Игрок,Свойство,,🧨 6: Mined-Out,,,,false,1,tasks
Неизменяемая инерция движения игрока,"Автоматическое движение игрока в определённом направлении (без возможности его изменить), пока он не встретится с преградой, точкой остановки и прочими игровыми элементами",1,,,"Игрок,Движение",Свойство,,🏂 7: Inertia,,,,false,3,tasks
Изменяемая инерция движения игрока,"Автоматическое движение игрока в определённом направлении, но с возможность изменить направление движения в любой момент",1,,,"Игрок,Движение",Свойство,,👻 9: Pac-Man,,,,false,3,tasks
Гравитация для игрока,"Падение игрока вниз, если под ним нет опоры\n(для базового выполнения задания достаточно, чтобы игрок мгновенно оказывался внизу)",1,,,Игрок,Свойство,,💰 4: Lode Runner,,,,false,3,tasks
Плавный эффект падения для гравитации,"↑ Дополнение к заданию “Гравитация для игрока”: падение должно быть не мгновенным, а плавным (чтобы был виден процесс падения)\nВыбирайте оба эти задания, чтобы получить в итоге суммарно 2 балла за хорошую гравитацию",1,,,Игрок,Свойство,,💰 4: Lode Runner,,,,false,2,tasks
Реакция на падение игрока,"Обычно любое падение игрока безболезненное, но можно сделать некоторый “штраф” (по жизням, энергии, очкам или чему угодно другому)",1,,,Игрок,Свойство,,,,,,false,3,tasks
Особая реакция на падение игрока,"↑ Дополнение к заданию “Реакция на падение игрока”: реакция только при определённых условиях (например, если высота слишком большая или если запас силы низок и т.п., на ваше усмотрение)",1,,,Игрок,Свойство,,,,,,false,0,tasks
Хвост «змейки» (шлейф за игроком),Так как каждый сегмент хвоста занимается отдельную клетку ー для него нужен отдельный игровой элемент :),1,,,Игрок,Элемент,,🐍 10: Змейка,,,,false,0,tasks
Увеличение хвоста,"Увеличение хвоста змейки (например, при собирании приза)",1,,,Игрок,Свойство,,🐍 10: Змейка,,,,false,1,tasks
Простое задание (60+),"Если простое задание на 60 или нерабочее на 70+\nОпишите, что и как вы реализовали (как можно подробнее), приведите скриншоты приложения",60,,,Основа,Основа,,,,,,false,6,tasks
Игровое задание (70+),"Как только игра рабочая ー можно выбирать этот вариант основы\nОпишите очень кратко вашу суть игры, приведите несколько «рекламных» скриншотов игры",70,,,Основа,Основа,,,,,,false,66,tasks
UML-диаграммы классов,,1,,,,Основа,,,,,,false,0,tasks
От преподавателя,,,,,Замечание,,,,,,,false,46,tasks
Ваше исправление,,,,,Замечание,,,,,,,false,9,tasks
Использование многопоточности,"Использование отдельных потоков (например, для противников, гравитации, музыки и т.п.)\nВ отчёте опишите, как именно и для чего использовать многопоточность.",1,,,Основа,Основа,,,,,,false,20,tasks
Продвинутый музыкальный плеер,"В игру встроен продвинутый музыкальный плеер, который позволяет воспроизводить несколько разных композиций\nПод “продвинотостью” имеется ввиду возможность переключать музыку во время игры нажатием специально выделенной клавиши, при этому новый трек выбирается случайным образом, а также наличие нескольких, а не одной музыкальных композиций в игре.\nПоясните, что именно подразумевается под продвинутостью 🤔\nВозможно лучше будет сделать несколько других более конкретных заданий",2,,,Фичи,Разное,,Почти во всех играх,,,,true,1,tasks
Копание песка на расстоянии,"Игрок может уничтожить песок на клетке слева/справа от себя при этом не переходя на соответствующую клетку, то есть безопасно для себя прокапывать путь вперед",1,,,Игрок,Свойство,,💎 2: Boulder Dash,,,,true,3,tasks
git: лицензия,Использование лицензии для git-репозитория,½,,,Репозиторий,Основа,,Почти во всех играх,,,,true,6,tasks
git: readme file,Использование readme file для git-репозитория,½,,,Репозиторий,Основа,,Почти во всех играх,,,,true,16,tasks
git: система классов,Использование отдельных файлов для классов в git,1,,,Репозиторий,Основа,,,,,,true,14,tasks
Граница игрового поля,"Использование границ игрового поля. Неуничтожимая стена вокруг игрового поля. Отличается визуально от обычной неуничтожимой стены.\nИмеется в виду особая неуничтожимая стена вокруг игрового поля?\nЧем-то отличается от обычной неуничтожимой стены? Визуально?\n-Да, неуничтожимая стена вокруг игрового поля. Да, отличается визупльно.",1,,,Уровни,Элемент,,Почти во всех играх,,,,true,13,tasks
Батут,"Позволяет подпрыгивать, при этом с каждым прыжком величина прыжка увеличивается\nИдея из игры: Flip master\nПрототип: батут",1,,,"Движение,Фичи",Элемент,,,,,,true,0,tasks
Лава,"При попадании на нее у игрока отнимаются жизни, также при нахождении возле нее у игрока отнимаются жизни\nИдея из игры: Minecraft\nПрототип: лава\nhttps://minecraft.fandom.com/ru/wiki/%D0%9B%D0%B0%D0%B2%D0%B0",1,,,Прочие,Элемент,,,,,,true,2,tasks
Граната,"Элемент, который бросается в определенную клетку игрового поля, после определенного времени взрывается\nИдея из игры: XCOM\nПрототип: зажигательная граната\nhttps://xcom.fandom.com/ru/wiki/%D0%97%D0%B0%D0%B6%D0%B8%D0%B3%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%B3%D1%80%D0%B0%D0%BD%D0%B0%D1%82%D0%B0",1,,,Инвентарь,Элемент,,,,,,true,0,tasks
Генератор маскировочное поле,"Элемент, который позволяет генерировать маскировочное поле\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: маскировочная вышка НОД\nhttp://cnc3.ru/autohtml.php?filename=nod-idb/29.htm",1,,,Прочие,Элемент,,,,,,true,0,tasks
Маскировочное поле,"Защищает объекты, которые находятся внутри поля от просмотра из вне этого поля. То есть тот, кто находится вне поля, не может видеть то, что находится внутри поля. А тот, кто находится внутри поля, может видеть то, что происходит вне данного поля.\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: маскировочнаое поле НОД\nhttp://cnc3.ru/autohtml.php?filename=nod-idb/29.htm",2,,,Прочие,Свойство,,,,,,true,0,tasks
Защитное поле,"Клетка, через которую могут пройти только определенные сущности. Дружественное защитное поле позволяет проходить только игроку, но враги не могут через него пройти. А вражеское защитное поле позволяет проходить через него только врагам, но не игроку.\nИдея из игры: PlanetSide2\nПрототип: защитное поле вокруг врат в игре PlanetSide2 https://planetside.fandom.com/ru/wiki/%D0%92%D1%80%D0%B0%D1%82%D0%B0",1,,,Движение,Элемент,,,,,,true,0,tasks
Джетпак,"Позволяет перелетать через препятствия (например, стены, камни)\nИдея из игры: Command & Conquer 3: Tiberium Wars\nПрототип: ракетный двигатель спецназа ГСБ\nhttp://cnc3.ru/autohtml.php?filename=idb/41.htm",1,,,Игрок,Разное,,,,,,true,0,tasks
Двойной прыжок,Позволяет выполнить прыжок дважды\nИдея из игры: CS:GO\nПрототип: двойной прыжок\nhttps://steamcommunity.com/sharedfiles/filedetails/?id=2304560178,1,,,Игрок,Свойство,,,,,,true,0,tasks
Прыжок,Позволяет выполнить прыжок,1,,,Игрок,Свойство,,13: Fireboy And Watergirl,,,,true,0,tasks
Диалог с пользователем: при попытке закрыть форму,"В GUI версии игры при попытке закрыть форму вызывает диалог с пользователем, который позволяет предотвратить случайное закрытие формы",1,,,Меню,Интерфейс,,Почти во всех играх,,,,true,7,tasks
Многоязычный интерфейс,Позволяет играть в игру на двух и более языках,1,,,Меню,Интерфейс,,Почти во всех играх,,,,true,1,tasks
Игра по локальной сети,Одна из возможных реализаций пункта “Игра по сети”. Позволяет играть внутри локальной сети на разных компьютерах,4,,,Прочие,Разное,,Почти во всех играх,,,,true,0,tasks
Игра по сети “Интернет”,Одна из возможных реализаций пункта “Игра по сети”. Позволяет играть через сеть интернет,4,,,Прочие,Разное,,Почти во всех играх,,,,true,0,tasks
Медпункт,"Клетка, при нахождении в которой или возле нее игрок восстанавливает жизни/здоровье",1,,,Бонус,Элемент,,,,,,true,0,tasks
Ремонтная база,"Клетка, при нахождении в которой или возле нее игрок восстанавливает очки брони",1,,,Бонус,Элемент,,,,,,true,0,tasks
Артиллерийская поддержка/бомбардировка с воздуха,"По заданной клетки или диапазону клеток наносится артиллерийский удар/воздушный удар, который наносит урон всем, кто находится в заданной области",1,,,Бонус,Алгоритм,,,,,,true,0,tasks
Горение танка,"Танк игрока горит, со временем уменьшается количество жизней игрока.\nИдея из игры War Thunder (горение танка)",1,,,Анти-бонус,Свойство,,,,,,true,0,tasks
Огнетушитель,Позволяет потушить пожар в танке.\nИдея из игры War Thunder (огнетушитель),1,,,Бонус,Свойство,,,,,,true,0,tasks
Осколочный снаряд,"Особый тип снаряда танка. Особенность заключается в том, что при взрыве создает осколки, которые поражают технику на расстоянии нескольких клеток от места, в котором взорвался снаряд\nИдея из игры War Thunder (осколочный снаряд)",1,,,Бонус,Свойство,,,,,,true,0,tasks
Подкалиберный снаряд,"Особый тип снаряда танка. Особенность заключается в том, что при взрыве наносит повышенный урон врагу\nИдея из игры War Thunder (подкалиберный снаряд)",1,,,Бонус,Свойство,,,,,,true,0,tasks
Переключение снарядов для танка,"Особенность заключается в том, что игрок имеет возможность переключать тип снаряда, которым он будет стрелять\nИдея из игры War Thunder (смена типов снарядов)",1,,,Бонус,Свойство,,,,,,true,0,tasks
Видеозаставки победы/поражения,"При победе/поражении запускается соответствующий видеофрагмент, который показывает небольшую сцену победы/поражения",2,,,Уровни,Разное,,,,,,true,3,tasks
