name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
📽️ Загальна відео-демка (до 5 хв) 🧩,"Підсумкові комплексні демки, що показують загальний геймплей або більшість зреалізованих можливостей.\nМожна розміщувати тут також і минулі версії демок (позначаючи їх у тексті).\n🧩 Завдання можна дублювати, якщо демонстраційного матеріалу багато :)",1,,,Відео-демки,Супровід,,,,,Віталій Ляпота,,0,tasks
📽️ Коротка відео-демка (до 1 хв) 🧩,,1,,,Відео-демки,Супровід,,,,,Віталій Ляпота,,0,tasks
Трейлер гри 🧩,"Створення захоплюючого трейлера до гри, що приверне увагу людей до основних можливостей гри\n🧩Завдання можна дублювати, якщо демонстраційного матеріалу багато :)",2,,,Відео-демки,Супровід,,,,,Віталій Ляпота,,0,tasks
"Невелика демка, що ілюструє конкретний момент 🧩","Йдеться про те що для демонстрації/опису багатьох завдань у звіті записані короткі відеофрагменти з демонстрацією відповідного моменту\n🧩 Завдання можна дублювати, якщо демонстраційного матеріалу багато :)",½,,,Відео-демки,Супровід,,,,,Віталій Ляпота,,0,tasks
Голосовий супровід відеодемки,"Йдеться про опис голосом того, що відбувається на відео",1,,,Ефекти демок,Супровід,,,,,Віталій Ляпота,,0,tasks
📽️ Золоті завдання на 90+,,1,,,Відео-демки,Супровід,,,,,Віталій Ляпота,,0,tasks
Додаткові ефекти у відео ⚛️,"Опишіть, які використовували\n⚛️ Кількість монет може бути збільшена або зменшена залежно від якості сайту",1,,,Ефекти демок,Супровід,,,,,Віталій Ляпота,,0,tasks
Сайт по вашій грі,⚛️ Кількість монет може бути збільшена або зменшена залежно від якості сайту,2,,,Сайти та канали,Супровід,,,,,Віталій Ляпота,,0,tasks
📽️ Спільна кодова база,,1,,,Відео-демки,Супровід,,,,,Віталій Ляпота,,0,tasks
Блог по вашій грі,"Блог розробника, в якому публікується інформація яка стосується розробки гри",2,,,Сайти та канали,Супровід,,,,,Віталій Ляпота,,0,tasks
Телеграм канал по грі,Напишіть посилання-запрошення на телеграм канал,1,,,Сайти та канали,Супровід,,,,,Віталій Ляпота,,0,tasks
Активне ведення каналу ⚛️,⚛️Кількість монет може бути збільшена або зменшена залежно від якості сайту,3,,,Сайти та канали,Супровід,,,,,Віталій Ляпота,,0,tasks
"Акаунти в інших соц. мережах (Facebook, Instagram, Twitch тощо) ⚛️","Створення спільнот для просування гри через соціальні мережі (створення каналів/чатів у Telegram, акаунта гри в Instagram, сторінки або групи гри у Facebook тощо)\n⚛️ Кількість монет може бути збільшена або зменшена залежно від якості сайту",1,,,Сайти та канали,Супровід,,,,,Віталій Ляпота,,0,tasks
Відносно простий рівень для прикладу 🧩,🧩 Можна дублювати завдання для кожного рівня\n(і по кожному рівню скриншот),½,,,Рівні,Програма,,,,,Віталій Ляпота,,62,tasks
Рівень-туторіал 🧩,"Спеціальний рівень з інструкціями до гри\n🧩 Можна дублювати, якщо ...",1,,,Рівні,Програма,,,,,Віталій Ляпота,,2,tasks
Продуманий цікавий рівень (із задумкою) 🧩 продуманий.,🧩 Можна дублювати завдання для кожного рівня\n⭕️ Потрібно надати пояснення щодо задуму рівня,1,,,Рівні,Програма,,,,,Віталій Ляпота,,14,tasks
Варіативні розміри поля,Різні рівні можуть мати різні розміри поля,1,,,Фічі рівнів,Програма,,,,,Віталій Ляпота,,19,tasks
"Карта у вигляді ""тора""",Наприклад: якщо перейти за лівий край - то з'являємося з правого боку (і аналогічно за вертикаллю),1,,,Фічі рівнів,Програма,,,,,Віталій Ляпота,,2,tasks
Обмежена видимість,"Видимість тільки найближчого простору поруч із гравцем.\nНаприклад, гравець бачить тільки кілька сусідніх клітинок, а решта для нього невидимі, і ця видима область ""переміщується"" разом із гравцем",2,,,Фічі рівнів,Програма,,,,,Віталій Ляпота,,0,tasks
Скрол видимої області під час руху гравця,"Видима область переміщається з гравцем (фрейм відображуваної області)\nПриблизно як скрол у вікні, але тут він просто залежить від переміщення гравця",2,,,Фічі рівнів,Програма,,,,,Віталій Ляпота,,1,tasks
Збереження поточного стану гри,Можливість надалі продовжити гру після повернення,2,,,Фічі рівнів,Програма,,,,,Віталій Ляпота,,5,tasks
Емуляція проходження рівня (без алгоритму) ⚛️,Просто захардкодженні дії (як би візуально ходимо замість гравця)\n⚛️ Залежно від складності реалізації кількість монет може бути збільшено або зменшено,2,,,Проходження гри,Програма,,,,,Віталій Ляпота,,1,tasks
