name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Видео-демки,,,бронза,1,разное,,,,,,,,,tasks
Перекрытие методов при наследовании,,,бронза,1,2-я лаба,,,,,,,,,tasks
Иерархия классов-наследников,,,бронза,1,2-я лаба,,,,,,,,,tasks
Базовый абстрактный класс,,,бронза,1,2-я лаба,,,,,,,,,tasks
Работа с файлами,,,бронза,1,2-я лаба,,,,,,,,,tasks
Небольшие размеры функций,,,бронза,1,качество кода,,,,,,,,,tasks
Разделение функционала по классам,,,бронза,1,качество кода,,,,,,,,,tasks
Продуманная структура классов,,,бронза,1,качество кода,,,,,,,,,tasks
Отсутствие дублирования кода,,,бронза,1,качество кода,,,,,,,,,tasks
«Говорящие» имена (для переменных и т.п.),,,бронза,1,качество кода,,,,,,,,,tasks
Точка остановки,(на которой останавливается игрок с инерцией),,серебро,1,элемент,элемент,,,,,,,,tasks
Музыкальное сопровождение,,,бронза,1,разное,,,,,,,,,tasks
Звуковое сопровождение,,,бронза,1,разное,,,,,,,,,tasks
Песок,"(уничтожается, когда на него ступает игрок)",,серебро,1,элемент,элемент,,,,,,,,tasks
Разные иконки направлений игрока,,,бронза,1,игрок,,,,,,,,,tasks
Клетка выхода,,,серебро,1,выход,элемент,,,,,,,,tasks
Миноискатель для игрока,,,бронза,1,игрок,поведение,,,,,,,,tasks
Инерция для игрока,,,бронза,1,игрок,поведение,,,,,,,,tasks
Гравитация для игрока,,,бронза,1,игрок,поведение,,,,,,,,tasks
Хвост «змейки» (шлейф за игроком),,,бронза,,игрок,,,,,,,,,tasks
Игрок,,,серебро,1,игрок,элемент,,,,,,,,tasks
Задание на «удовлетворительно»,,,гранит,60,разное,,,,,,,,,tasks
Базовое задание на «хорошо»,,,гранит,70,разное,,,,,,,,,tasks
Использование git-репозитория,,,бронза,1,разное,,,,,,,,,tasks
UML-диаграмма классов,,,бронза,1,разное,,,,,,,,,tasks
Использование многопоточности,,,бронза,1,разное,,,,,,,,,tasks
Цветные клетки,,,бронза,1,дизайн,,,,,,,,,tasks
Красивая графика,,,бронза,1,дизайн,,,,,,,,,tasks
Удобный интерфейс,,,бронза,1,интерфейс,,,,,,,,,tasks
Главное меню игры,,,бронза,1,интерфейс,меню,,,,,,,,tasks
Вариативные размеры поля,,,бронза,1,интерфейс,,,,,,,,,tasks
