name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Проверка на тупик во время игры,"Здесь подразумевается проверка во время игры\nНапример, автоматическая, т.е. каждый раз проверяется, и если игрок оказывается в непроходимом тупике, то что-то происходит\nВ качестве реакции — либо автоматический телепорт в другое место, либо плюс одна жизнь на “взорваться”, либо уничтожение произвольной стены, чтобы избавиться от тупика и т.п.",2,,,Проходження гри,,,,,,Віталій Ляпота,,2,tasks
Подсказка для прохождения уровня,"Опциональная подсказка или режим игры с постоянными подсказками: какой сделать следующий шаг или несколько шагов, чтобы в итоге победить\nАлгоритм можно использовать из «золотых заданий» выше",2,,,Проходження гри,,,,,,Віталій Ляпота,,0,tasks
Редактор уровней,"Базовая возможность создавать новые и редактировать существующие уровни, прямо из интерфейса игры\n⚛️ В зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",4,,,Редактор рівнів,,,,,,Віталій Ляпота,,6,tasks
Доп. фичи редактора уровней,Для каждой дополнительной фичи создавайте отдельной задание ниже,0,,,Редактор рівнів,,,,,,Віталій Ляпота,,0,tasks
Выбор способа заполнения,"Возможность выбора вида заполнения (точка, линия, соединенные линии, прямоугольник)",2,,,Редактор рівнів,,,,,,Михайло Середа,,1,tasks
Выделение активных инструментов,Активный выбранный инструмент визуально выделяется,1,,,Редактор рівнів,,,,,,Михайло Середа,,4,tasks
Блок для отображения информации,"Например, жизни игрока, результаты, время т.п.\n💡 Не забудьте добавить ещё соответствующие задания из раздела “Статистика”",1,,,Інтерфейс,,,,,,Віталій Ляпота,,33,tasks
Цветные клетки  🔲,"Здесь подразумевается, что разные игровые элементы имеют разные цвета\n🔲 Актуально только для консоли",1,,,Графіка,,,,,,Віталій Ляпота,,37,tasks
Основное игровое поле,⭕️  Обязательное задание\nНужен скрин примера игрового поля,1,,,Вікна,,,,,,Віталій Ляпота,,51,tasks
Главное меню игры,,1,,,Вікна,,,,,,Віталій Ляпота,,37,tasks
Результаты игроков,💡 Не забудьте добавить ещё соответствующие задания из раздела “Статистика”,1,,,Вікна,,,,,,Віталій Ляпота,,13,tasks
Инструкция к игре,,1,,,Вікна,,,,,,Віталій Ляпота,,21,tasks
Заставка при запуске игры,Начальная заставка перед стартовым меню,1,,,Вікна,,,,,,Віталій Ляпота,,17,tasks
Заставка победы,,1,,,Вікна,,,,,,Віталій Ляпота,,35,tasks
Заставка поражения,,1,,,Вікна,,,,,,Віталій Ляпота,,34,tasks
Пауза,Возможность поставить игру на паузу,1,,,Вікна,,,,,,Віталій Ляпота,,14,tasks
Выбор уровня для запуска,,1,,,Вікна,,,,,,Віталій Ляпота,,13,tasks
Выбор сложности игры,,1,,,Вікна,,,,,,Віталій Ляпота,,13,tasks
Регулировка скорости игры,Как быстро будут происходить все события в игре,1,,,Вікна,,,,,,Віталій Ляпота,,4,tasks
Настройка громкости,Регулирование громкости фоновой музыки/звуков,1,,,Вікна,,,,,,Віталій Ляпота,,4,tasks
Выбор стиля (темы) игры,"Например, выбор между разными наборами символов для отображения в консольной игре (и аналогично можно для GUI)",2,,,Вікна,,,,,,Віталій Ляпота,,3,tasks
Настройки сочетаний клавиш,,2,,,Вікна,,,,,,Віталій Ляпота,,3,tasks
Выбор игрока,"Например, возможность смены игрока с его настройками\n(к примеру, сохраняется его скорость и стиль игры, или последняя карта, на которой играл игрок, и т.п.)",2,,,Вікна,,,,,,Віталій Ляпота,,3,tasks
Дополнительные настройки 🧩,"Опишите в отчёте, какие именно\n🧩 Задание может дублироваться при необходимости\n(но лучше просто создать новые более конкретные задания)",1,,,Вікна,,,,,,Віталій Ляпота,,2,tasks
Выбор пунктов меню курсорными клавишами ↑↓,🔲 Актуально только для консоли,1,,,Інтерфейс,,,,,,Віталій Ляпота,,22,tasks
Выделение активного пункта меню,"Например, фоновым цветом",1,,,Інтерфейс,,,,,,Віталій Ляпота,,21,tasks
Публикация в магазине (Steam и т.п.) ⚛️,"Публикация игры в общий доступ через одну из площадок для размещения игр в публичном доступе (например, Steam и другие)\n⚛️ Количество монет может быть увеличено или уменьшено в зависимости от обстоятельств",2,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
Обзор (рецензия) к игре,,1,,,Сайти та канали,,,,,,Віталій Ляпота,,0,tasks
Пасхалочка  🧩,"Например, типа кода Konami или любая другая скрытая возможность или особенность :)\n🧩 Можно дублировать задание задание для каждой пасхалки",1,,,Фічі,,,,,,Віталій Ляпота,,1,tasks
Возможность играть вдвоём,"Подразумевается на одном компьютере, например, разными сочетаниями клавиш для разных игроков\n💡 Не забудьте добавить и игровой элемент для второго игрока",2,,,Фічі,,,,,,Віталій Ляпота,,3,tasks
Аккаунты,Сохранение данных отдельных игроков\ntodo: скорее всего это задание надо раздробить на несколько более мелких...,3,,,Фічі,,,,,,Віталій Ляпота,,4,tasks
Магазин,"Магазин, в котором можно покупать различные дополнительные возможности или ресурсы и т.п.\nTODO: Возможно, надо разбить на несколько более мелких заданий\nTODO: добавить различные небольшие задания, поясняющие эту функциональность",4,,,Фічі,,,,,,Віталій Ляпота,,3,tasks
Универсальный движок,"Здесь подразумевается реализация классов игры в таком виде, что их можно удобно переиспользовать даже для построения другого варианта игры.\nТо есть логика конкретных игровых процессов получается не жёстко зафиксированной, а зависит от тех или иных конфигурационных параметров.\nВ идеале получается, что при определённых конфигурациях можно получить даже совершенно другую игру на том же исходном коде.",8,,,Фічі,,,,,,Віталій Ляпота,,0,tasks
Возможность играть по сети,,12,,,Фічі,,,,,,Віталій Ляпота,,3,tasks
Работа с файлами,"Опишите в отчёте, как использовать и для чего",1,,,Реалізація,,,,,,Віталій Ляпота,,0,tasks
Использование потоков (Thread),"Опишите в отчёте, как использовать и для чего",1,,,Реалізація,,,,,,Віталій Ляпота,,0,tasks
Использование потоков для параллельной обработки рендеринга и обновлений,"Разделить обработку обновлений игрового поля и редеринг в раздельные потоки, реализовать синхронизацию с минимальным ущербом производительности",1,,,Реалізація,,,,,,Костянтин Щербина,,0,tasks
Ограничение частоты кадров,Добавить ограничение максимальной частоты кадров для избежания избыточной нагрузки на сисиетму,1,,,Реалізація,,,,,,Костянтин Щербина,,0,tasks
Использование пакетов NuGet в проекте,Подключение и применение пакетов NuGet в проекте,1,,,Реалізація,,,,,,Віталій Ляпота,,0,tasks
Ввод имени игрока,,1,,,Статистика,,,,,,Віталій Ляпота,,11,tasks
Простой подсчет очков,"Например, количество собранных призов и т.п.",1,,,Статистика,,,,,,Віталій Ляпота,,28,tasks
