name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
git: Создать репозиторий,Разместите ссылку на git-репозиторий в описании отчёта,1,,,git,,,,* Ссылка на github,,,,0,tasks
git: лицензия,Использование лицензии для git-репозитория,½,,,git,,,,,,,,0,tasks
git: .gitignore,Добавление файла .gitignore,½,,,git,,,,,,,,0,tasks
git: readme file,Использование readme-файла для git-репозитория,½,,,git,,,,,,,,0,tasks
git: ветки,"Использование веток (по назначению и смыслу)\nОпишите, какие ветки и для чего использовали",1,,,git,,,,* Какие ветки используются и ссылки на них,,,,0,tasks
git: коммиты,Регулярные коммиты\nДайте ссылку на историю коммитов,1,,,git,,,,* Ссылка на историю коммитов,,,,0,tasks
git: описания,"Понятные комментарии к коммитам и содержимое “отделительное”, а не всё скопом\nДайте здесь примеры нескольких таких коммитов\nА также дайте ссылку на историю изменений в git",1,,,git,,,,* Ссылка на историю коммитов\n* Несколько примеров хороших коммитов,,,,0,tasks
git: pull-requests,Разместите в отчёте ссылки на ваши pull request’ы,1,,,git,,,,* Ссылки на PR,,,,0,tasks
Общая видео-демка,"Итоговые комплексные демки, показывающие общий геймплей или многие реализованные возможности.\nМожно размещать здесь также и прошлые версии демок (помечая их в тексте).\n🦠 Задание можно дублировать если демонстрационного материала много :)",1,,,demo,,,,"* Youtube, GDrive, tg-ссылка или любая другая с видео\n* Кратко описать контент",,,,0,tasks
"Небольшая демка, иллюстрирующая конкретный момент","Подразумевается, что для демонстрации-описания многих заданий в отчёте записаны короткие видео-фрагменты с демонстрацией соответствующего момента\n🦠 Задание можно дублировать если демонстрационного материала много :)",½,,,demo,,,,"* Youtube, GDrive, tg-ссылка или любая другая с видео\n* Кратко описать контент",,,,0,tasks
Трейлер игры,"Создание захватывающего трейлера к игре, который привлекает внимание людей к основным возможностям игры\n🦠 Задание можно дублировать если демонстрационного материала много :)",2,,,demo,,,,"* Youtube, GDrive, tg-ссылка или любая другая с видео\n* Кратко описать контент",,,,0,tasks
Голосовое сопровождение видео-демки,"Подразумевается описание голосом того, что происходит на видео",1,,,demo,,,,,,,,0,tasks
Дополнительные эффекты в видео,,1,,,demo,,,,,,,,0,tasks
Информационный сайт по игре,⚛️ Количество монет может быть увеличено или уменьшено в зависимости от качества сайта,3,,,site,,,,,,,,3,tasks
Блог разработчика,"Блог разработчика, в котором публикуется информация по поводу игры",2,,,site,,,,,,,,0,tasks
Телеграм-канал по игре,,1,,,site,,,,* Ссылка-приглашение на телеграм-канал,,,,0,tasks
Активное ведение канала,,2,,,site,,,,,,,,0,tasks
"Аккаунты в других соц. сетях (Facebook, Instagram, Twitch и т.п.)","Создание сообществ для продвижения игры через социальные сети путем создания каналов/чатов в Telegram, аккаунта игры в Instagram, страницы или группы игры в Facebook и т.д.\n⚛️ Количество монет может быть увеличено или уменьшено в зависимости от количества и качества проработки сообщества",1,,,site,,,,,,,,0,tasks
1. Классы игровых элементов,Базовый класс для игрового элемента и конкретные наследники,1,,,micro,,,,,,,,0,tasks
2. Коллекция игровых элементов,Любая двумерная коллекция/массив из этих классов (заполненная),1,,,micro,,,,,,,,0,tasks
3. Вывод символов-клеток,"Вывод на экран массива в виде символов-клеток\n(через вызов перекрытого метода классов-элементов, полиморфизм)",1,,,micro,,,,,,,,0,tasks
4. Ввод с консоли,"Пользовательский ввод с консоли (вверх, вниз, влево, вправо), организовать в цикле",1,,,micro,,,,,,,,0,tasks
5. Перемещение игрока,Перемещение игрока по полю\n(изменения в массиве и отображение в консоли),1,,,micro,,,,,,,,0,tasks
6. Взаимодействие игрока,"Взаимодействие игрока с некоторыми игровыми элементами (например, нельзя пройти через препятствие или можно собрать призы)",1,,,micro,,,,,,,,0,tasks
7. Без дублирования кода,Попробовать реализовать его без дублирования кода (через общую функцию или через dictionary или иначе),1,,,micro,,,,,,,,0,tasks
8. Заполнить coda-отчёты :),,1,,,micro,,,,,,,,0,tasks
Относительно простой уровень для примера,🦠 Можно дублировать задание задание для каждого уровня,½,,,levels,,,,* нужен скриншот уровня,,,,26,tasks
