name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
Использование git-репозитория,"Разместите ссылку на git-репозиторий в описании отчёта, а также напишите, если используете особые ветки или механизм pull-реквестов и т.п. Коэффициенты: ×0.5 ー если просто загрузили архив ×2.0 ー если делаете полноценные коммиты и тем самым ведёте лог изменений",1,бронза,1,Сопровождение,,,,,,,false,67,tasks
Видео-демки,"Загружайте демки в YouTube или прикрепляйте в виде GIF'ок.  В каждом задании могут быть свои мини-демки и мини-гифки, но в этом пункте подразумеваются некоторые итоговые комплексные демки, показывающие общий геймплей или все реализованные возможности. Можете размещать здесь также и прошлые версии демок (помечая их в тексте).",1,бронза,1,Сопровождение,,,,,,,false,81,tasks
Точка остановки,(на которой останавливается игрок с инерцией),1,серебро,2,Элементы,,,🏂 7. Inertia,,,,false,4,tasks
Цветные клетки,,1,бронза,1,Интерфейс,,,,,,,false,42,tasks
Музыкальное сопровождение,,1,бронза,1,Интерфейс,,,,,,,false,27,tasks
Звуковое сопровождение,,1,бронза,1,Интерфейс,,,,,,,false,28,tasks
Песок,"(уничтожается, когда на него ступает игрок)",1,серебро,2,Элементы,,,💎 2. Boulder Dash,,,,false,7,tasks
Управление курсорными клавишами,"Основной игровой элемент, присутствующий во всех вариантах",1,серебро,2,Игрок,,,,,,,false,29,tasks
Разные иконки направлений,"В зависимости от того, куда направлен игрок ー отображается для него разная иконка",0.5,серебро,1,Игрок,,,🎮 5. Battle City,,,,false,14,tasks
Клетка выхода,,1,серебро,2,Финиш,,,,,,,false,13,tasks
Миноискатель,"Возможность для игрока узнавать, сколько рядом находится скрытых мин",0.5,серебро,1,Игрок,,,🚧 6. Mined-Out,,,,false,2,tasks
Инерция движения игрока,,0.5,серебро,1,Игрок,,,"🏂 7. Inertia,👻 9. Pac-Man",,,,false,8,tasks
Гравитация для игрока,,0.5,серебро,1,Игрок,,,💰 4. Lode Runner,,,,false,5,tasks
Хвост «змейки» (шлейф за игроком),,0.5,серебро,1,Игрок,,,🐍 A. Змейка,,,,false,0,tasks
Простое задание на 60+,"Опишите, что и как вы реализовали (как можно подробнее), приведите скриншоты приложения",60,бронза,60,Основа,,,,,,,false,21,tasks
Игровое задание на 75+ или 90+,"Опишите очень кратко вашу суть игры, приведите несколько «рекламных» скриншотов игры",75,бронза,75,Основа,,,,,,,false,112,tasks
UML-диаграммы классов,,1,бронза,1,Сопровождение,,,,,,,false,17,tasks
От преподавателя,,,,0,Замечание,,,,,,,false,36,tasks
Ваше исправление,,,,0,Замечание,,,,,,,false,10,tasks
Использование многопоточности,,1,бронза,1,разное,,,,,,,true,0,tasks
Главное меню игры,,1,бронза,1,Меню,,,,,,,false,46,tasks
Вариативные размеры поля,,1,бронза,1,Интерфейс,,,,,,,false,20,tasks
Список лучших результатов,,1,бронза,1,Результаты,,,,,,,false,9,tasks
Ввод имени игрока,,1,бронза,1,Результаты,,,,,,,false,17,tasks
Подсчёт количества ходов,,1,бронза,1,Результаты,,,,,,,false,9,tasks
Подсчёт времени прохождения уровня/игры,,1,бронза,1,Результаты,,,,,,,false,20,tasks
"Подсчёт очков, полученных игроком",(хотя бы некоторая формула),1,бронза,1,Результаты,,,,,,,false,26,tasks
При получении определённого количества очков,,0.5,серебро,1,Финиш,,,,,,,false,23,tasks
При достижении клетки выхода (видимой изначально),,0.5,серебро,1,Финиш,,,,,,,false,9,tasks
Клетка выхода появляется через некоторое время,,0.5,серебро,1,Финиш,,,,,,,false,0,tasks
Клетка выхода появляется при определённых обстоятельствах,,0.5,серебро,1,Финиш,,,,,,,false,9,tasks
Жизни игрока,Их может быть несколько. Потеря жизни ー начинать уровень или игру сначала (или с точки сохранения и т.п.),1,бронза,1,Фичи,,,🎮 5. Battle City,,,,false,22,tasks
Обратный отсчёт времени,(если не успеть выиграть — game over),1,бронза,1,Результаты,,,,,,,false,4,tasks
Карта в виде «тора»,(если идём через левый край — возникаем справа и т.п.),1,бронза,1,Фичи,,,👻 9. Pac-Man,,,,false,4,tasks
Продуманные интересные уровни,,1,бронза,1,Уровни,,,,,,,false,17,tasks
Случайная генерация уровней,(в очень простом виде),1,бронза,1,Уровни,,,🚧 6. Mined-Out,,,,false,13,tasks
Пасхалочка типа кода Konami,,1,бронза,1,Фичи,,,,,,,false,3,tasks
Сохранение текущего состояния игры,(в дальнейшем можно загрузиться с него и продолжить),1,серебро,2,Фичи,,,,,,,false,9,tasks
Управление с помощью мыши (3-я лаба),,1,серебро,2,3-я лаба (todo),,,,,,,false,0,tasks
Видимость только ближайшего пространства рядом с игроком (ограниченная видимость),,1,серебро,2,Фичи,,,💰 4. Lode Runner,,,,false,1,tasks
Видимая область перемещается с игроком (фрейм отображаемой области),(как скролл в окне),1,серебро,2,Фичи,,,,,,,false,3,tasks
Непроходимая и неуничтожимая стена,,1,серебро,2,Препятствия,,,"💎 2. Boulder Dash,🎮 5. Battle City",,,,false,28,tasks
Уничтожимая стена,,1,серебро,2,Препятствия,,,"💎 2. Boulder Dash,💰 4. Lode Runner,🎮 5. Battle City,💥 8. Bomberman",,,,false,10,tasks
Восстанавливающаяся стена,,1,серебро,2,Препятствия,,,💰 4. Lode Runner,,,,false,4,tasks
Вода,"(пройти нельзя, но выстрелы проходят)",1,серебро,2,Препятствия,,,🎮 5. Battle City,,,,false,3,tasks
Прозрачная стена,"(шарик пролетает, но нельзя поставить зит)",1,серебро,2,Препятствия,,,🎱 3. New Ball Game,,,,false,1,tasks
