name,description,coins,coin_type,points,category,supercategory,subcategory,games,report,color,author,new,used,source
🌅 Фон анімований (gif),,,🟢,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🌅 Фон анімований (shader),,,🟡,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
Автотайлинг (різний вигляд сутностей в залежності від сусідів),,,⚪,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🐭 Створення мишкою,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🔎 Масштабування видимої частини,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
Переміщення видимої частини,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
⚔️ Може стріляти,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
📦 Може збирати ресурс,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⬇️ Переміщення: зверху вниз,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
✨ Створює іншу сутність,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
Переміщення: іншої сутності,,,⚪,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
📦 Може взяти сутність,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
📦 Може покласти сутність,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
▶️ Головний ігровий екран,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
▶️ Головне меню,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
⚙️ Налаштування,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🔊 Гучність,,,🟤,,Інтерфейс: Налаштування,Інтерфейс,,,,,,,,tasks
⚙️ Налаштування,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
▶️ Нова гра (Start),,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
💾 Збереження ігрової сесії,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
💾 Збереження ігрової сесії,,,🟤,,Функціонал: Збереження,Функціонал гри,,,,,,,,tasks
Entity Component System,,,🟤,,Python: Архітектури,Python,,,,,,,,tasks
Arcade,,,🟡,,Python: Бібліотеки,Python,,,,,,,,tasks
esper,,,⚪,,Python: Бібліотеки,Python,,,,,,,,tasks
mypy,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
ruff,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
requirement.txt,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
uv,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
venv,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
pyenv,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
pyproject.toml,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
Окремий клас для поля,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
Окремий клас обробки вводу,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
Окремий клас для фізики,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
Окремий клас для рендеру,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
Базовий клас для сутностей,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
Наслідування сутностей від базової,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
💾 Завантаження збереженої сесії,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🏳️ Вихід з гри,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
↕️ Вибір пунктів меню курсорними клавішами,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🔲 Псевдографіка для меню,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🔲 Псевдографіка для ігрового поля,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🔲 Псевдографіка для стартового екрану,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
Переміщення: випадкове,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
Переміщення: по напрямку к гравцю,,,⚪,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
⛔ Не можна пройти крізь сутність (стіна),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
💥 Можна зламати сутність,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Стріляє вперед,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Стріляє тричі підряд,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Стріляє дрібʼю (splash-постріл),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Стріляє з затримкою на відновлення (Cool down),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Зброя: Рівень зброї,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
💛 Життя: Кількість здоровʼя (HP),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Зброя: Сила ураження (Damage),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Зброя: Інтервал пострілів (gap),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
"⚔️ Зброя: Затримка (delay, cool down)",,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
➕💛 Додає гравцю HP,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
📊 Score,,,🟤,,Інтерфейс: Результати гри,Інтерфейс,,,,,,,,tasks
Відображення інформації,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
Скільки залишилось ворогів,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
💛 HP,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
📊 Score,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
⚔️ Обрана зброя,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
Рівень (на якому зараз),,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
Більш складний розрахунок score,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Більш складний розрахунок параметрів за рівнем сутності (level),,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
💾 Збереження гри при проходженні рівня,,,🟤,,Функціонал: Збереження,Функціонал гри,,,,,,,,tasks
Upgrade зброї після проходженні рівня,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Більш складний розрахунок spawn для противників (залежності від рівня),,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Safe-зона для spawn’у противників,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
🛒 Upgrade зброї після проходженні рівня,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
❓ Меню після проходження рівня (продовжити чи вийти),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
Переміщення карти при переміщенні гравця,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
🏳️ Меню при програші (нова гра та вихід),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
Клас чи модуль для налаштувань,,,🟢,,Python: Структура кода,Python,,,,,,,,tasks
pytmx (tile для pygame),,,🔵,,Python: Бібліотеки,Python,,,,,,,,tasks
🌅 Фон неанімований,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
Анімація персонажу,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
📊 Статистика: Кількість кроків,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
📊 Статистика: Кількість використання предмету,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
✨ Зміна параметру іншої сутності,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
🔢 Різне: Глибина,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
🔄 Перезапустити гру,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
Цікава алгоритмічна генерація (+ конкретні кроки реалізації окремими підзавданнями),,,🟡,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
Дуже простий рівень,,,🟤,,Ручне створення рівнів,Рівні (levels),,,,,,,,tasks
Складний цікавій рівень,,,⚪,,Ручне створення рівнів,Рівні (levels),,,,,,,,tasks
Випадкова генерація проста,,,🟤,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
Генерація печер,,,🟡,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
Кастомний заголовок вікна,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
⬇️ Гравітація,,,⚪,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
Переміщення: просте (вперед-назад),,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
⚔️ Зброя: Кількість патронів,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
3D-відображення,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
3D в консолі,,,🟡,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
3D: Різні символи в залежності від дальності,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
➕⚔️ Додадає гравцю патрони,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⏱️ Найкращій час,,,🟤,,Інтерфейс: Результати гри,Інтерфейс,,,,,,,,tasks
"⏱️ Час, який пройшов",,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
⏱️ Час найкращій,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
💰 Coins (обовʼязкові),,,🟤,,Інтерфейс: Результати гри,Інтерфейс,,,,,,,,tasks
⏱️ Час проходження рівня,,,🟤,,Інтерфейс: Результати гри,Інтерфейс,,,,,,,,tasks
🔢 Різне: Час зникання (щоб через N секунд повернути),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
"💥 Знищити інший елемент попереду (напр., клітинку землі)",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
💥 Знищити інший елемент (сусідній),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
💥 Знищити інший елемент знизу по діагоналі,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⏱️ Відновлення елемента через деякий час,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
↕️ Дозволяє рухатись вертикально,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⬆️ Стрибок вверх,,,⚪,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
↗️ Стрибок по діагоналі,,,⚪,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
"🪜 Хапання драбини (наприклад, якщо підстрибнули)",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⬆️⏱️ Зависання в повітря при стрибку (долі секунди),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
📊 Перелік найкращих результатів (для рівня),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
Можна переміщатися між рівнями (навіть не пройшовши їх),,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Пауза (вручну),,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"Пауза (автоматична, наприклад при відображенні результатів)",,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
💾 Завантаження попередньо збереженої сесії,,,🟤,,Функціонал: Збереження,Функціонал гри,,,,,,,,tasks
Переміщення: випадкова зміна напрямку руху,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
Переміщення: зміна напрямку при стіні,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
Чіт-код: збільшити здоровʼя,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Чіт-код: знищити всіх ворогів,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"🏳️ Заверешння гри при знищенні (наприклад, база в танчиках)",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
⛔ Міцний елемент (не знищується пострілом),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
▶️ Стартовий екран,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
↔️ Переміщення: по горизонталі,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
↗️ Переміщення: по діагоналі,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
↗️ Різний кут відбиття мʼячика в залежності від місця удару по ракетці,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
🔢 Різне: Закруглення ракетки (різні кути відбиття мʼячика),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
🏳️ Поразка,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
"💛 Життя: Міцність елементу (скільки разів вдарити, щоб знищити)",,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
Перевірка досяжності всіх клітин,,,🟡,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
Відзеркалення для генерації,,,⚪,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
Випадкова генерація з вагами окремих клітин,,,⚪,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
Випадкова генерація ліній з клітин,,,⚪,,Програмне створення рівнів,Рівні (levels),,,,,,,,tasks
"🌳 Приховує інші клітинки, які стають на неї (як ліс з танчиків)",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
"💧 Пропускає крізь себе снаряди (не знищуючись), як річка в танчиках",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
💥 Може бути знищенним,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
📊 Кількість ворогів,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
📊 Перелік найкращих результатів (всього),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Магазин,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Магазин: відкриття покупки,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Магазин: Перегляд гардеробу,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Гардероб,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Магазин: Встановлення кольору для чогось,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Магазин: встановлення кольору для голови,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Магазин: встановлення кольору для тіла,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Магазин: встановлення кольору для всього,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Магазин: Кольори для покупки,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Магазин: покупка кольорів,,,🟤,,Функціонал: Магазин,Функціонал гри,,,,,,,,tasks
🛒 Магазин: гардероб вибір кольрів,,,🟤,,Функціонал: Магазин,Функціонал гри,,,,,,,,tasks
keyboard (стандартна),,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
⚙️ Налаштування складності гри (швидкість),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
⚙️ Налаштування (розмір поля),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
📊 Кількість зароблених монеток,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
📊 Кількість зʼїдених яблук,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
"🏆 Перемога, якщо розмір змійки максимальний",,,🟤,,Функціонал: Перемога,Функціонал гри,,,,,,,,tasks
🏳️ Поразка: якщо врізались в стіну,,,🟤,,Функціонал: Поразка,Функціонал гри,,,,,,,,tasks
🏳️ Поразка: якщо врізались самі в себе,,,🟤,,Функціонал: Поразка,Функціонал гри,,,,,,,,tasks
➕ Збільшення змійки на 1,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
➕ Збільшення змійки на 3,,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
🔢 Різне: Ранг гравця (в залежності від score),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
Ранг гравця,,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
json,,,🟢,,Python: Бібліотеки,Python,,,,,,,,tasks
"Карта у вигляді тору (ідемо вниз, опиямось вверху, і так само вліво-вправо)",,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
↔️ Переміщення: вліво-вправо з певною вирогідністю,,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
"-1 життя, якщо ворог дійшов до низу поля",,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"⏱️ Час, який залишився до перемоги",,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
"Статус гри (остання подія, наприклад, ворог врізався, перезаряджається лазер)",,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
⚔️ Перезарядка лазера (невеличкий таймер),,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
"Score: +1 за кожну секунду, яку протримались",,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Score: +X за кожного вбитого ворога,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
⌨️ Ввод імені гравця,,,🟤,,Інтерфейс: Результати гри,Інтерфейс,,,,,,,,tasks
💾 Збереження імені гравця,,,🟤,,Функціонал: Збереження,Функціонал гри,,,,,,,,tasks
Переміщення: волновий алгоритм до гравця,,,🟡,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
"Переміщення: волну використовувати не напряму, а рандомно туди-сюди можна переміщатись",,,🟤,,Сутності: Переміщення по полю,Сутності (entities),,,,,,,,tasks
ℹ️ Довідка (help),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
ℹ️ Інформація по командам,,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Профіль (інвентар),,,🟤,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
🛒 Обмін ресурсів (по певному курсу),,,🟡,,Інтерфейс: Віконця або блоки,Інтерфейс,,,,,,,,tasks
"⬇️ Каміння може впасти на гравця (або гравій, або наковальня)",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
Шанс появи клітинки-ресурсу залежить від типу ресурсу,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
Шанс появи клітинки-ресурсу залежить від глибини розташування,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"✨ Часткове перетворення лави на каміння, коли стоїмо поряд з нею",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
"✨ Блок автоматично зʼявляється під гравцем, коли він йде наверх",,,🟤,,Сутності: Фунціонал сутностей,Сутності (entities),,,,,,,,tasks
💾 При зберіганні гравець візуально підіймається наверх по клітинкам,,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
💛 Життя: Кількість життів (тотемів),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
💛 Життя: Кількість яблук (які покращують здоровʼя),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
⚔️ Зброя: Міцність кірки (скільки разів можна використати),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
"Глибина, на якій знаходимось",,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
"📊 Кількість ресурсів, які викопали",,,🟤,,Інтерфейс: Відображення інфи,Інтерфейс,,,,,,,,tasks
Особливість: не можна рухатись вліво,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"Розмір кнопок збільшується пробілами, щоб мати однакову ширину",,,🟤,,Інтерфейс: Графічні таски,Інтерфейс,,,,,,,,tasks
"🛒 Обмін: Обираємо ресурс, який міняємо",,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Обмін: Плюс-мінус кількість ресурсу,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Обмін: зміна режиму покупка-продаж,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
🛒 Обмін: обміняти обрану кількість,,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
Розрахунок курсу в залежності від ресурсів у всіх гравців,,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
📊 Статистика: Кількість алмазів,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
📊 Статистика: Кількість зібраних ресурсів,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
📊 Статистика: Кількість смертей (від лави),,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
📊 Статистика: Кількість викопаних ресурсів за весь час гри,,,🟤,,Сутності: Параметри сутностей,Сутності (entities),,,,,,,,tasks
"Режим, коли ми бачимо всі ресурси",,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"Режим, коли ми бачимо ресурси лише поряд із гравцем",,,🟤,,Функціонал гри,Функціонал гри,,,,,,,,tasks
"#️⃣ Пагінація для результатів (наступна, попередня сторінка)",,,🟤,,Інтерфейс: Пункти меню,Інтерфейс,,,,,,,,tasks
discord bot,,,🟡,,Python: Бібліотеки,Python,,,,,,,,tasks
SQL Alchemy,,,🟡,,Python: Бібліотеки,Python,,,,,,,,tasks
sqlite,,,🔵,,Python: Бібліотеки,Python,,,,,,,,tasks
🟦 1. Вивести ігрове поле на екран,,,🔵,,Python: Lab #1,Python,,,,,,,,tasks
🟦 2. Зчитати клавішу з клавіатури,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟦 3. Перемістити гравця на полі,,,🔵,,Python: Lab #1,Python,,,,,,,,tasks
"🟦 4. Перевірити клітинку, на яку натрапив гравець",,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟦 5. Організувати ігровий цикл,,,🔵,,Python: Lab #1,Python,,,,,,,,tasks
🟦 6. Створити та використати декілька власних функцій,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 1a. Типи данних: str,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 1b. Типи данних: int або float,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 1c. Типи данних: bool,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 1d. Типи данних: NoneType,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟦 1. Матриця для елементів клітинного поля,,,🔵,,Python: Lab #2,Python,,,,,,,,tasks
🟦 1. Класи,,,🟢,,Python: Lab #3,Python,,,,,,,,tasks
🟦 1. Винятки,,,🟢,,Python: Lab #4,Python,,,,,,,,tasks
Веб-сторінка,,,🟤,,Python: Lab #5,Python,,,,,,,,tasks
🟦 2. Словники,,,🟢,,Python: Lab #2,Python,,,,,,,,tasks
🟦 3. Завантажити з текстового файлу,,,🔵,,Python: Lab #2,Python,,,,,,,,tasks
🟩 1. Зрізи,,,🟢,,Python: Lab #2,Python,,,,,,,,tasks
🟩 2. Спискові включення (list comprehension),,,🟢,,Python: Lab #2,Python,,,,,,,,tasks
🟩 3. Кортежі,,,🟢,,Python: Lab #2,Python,,,,,,,,tasks
🟩 4. Зіркові параметри,,,🟢,,Python: Lab #2,Python,,,,,,,,tasks
🟩 5. Множини,,,🟢,,Python: Lab #2,Python,,,,,,,,tasks
🟩 6. Зберегти у текстовий файл,,,🔵,,Python: Lab #2,Python,,,,,,,,tasks
🟩 7. Двійкові (бінарні) файли,,,🔵,,Python: Lab #2,Python,,,,,,,,tasks
"🟩 2a: Умовні команди: if, elif, else",,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
"🟩 2b: Умовні команди: and, or, not",,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 2c: Умовні команди: a < b < c,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 3a: Цикли: for,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 3b: Цикли: while,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 3c: Цикли: range,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 3d: Цикли: continue,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 3e: Цикли: break,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 3f: Цикли: else,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 4a: Функції: optional (keyword) parameters,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 4b: Функції: * та / у списку параметрів,,,🔵,,Python: Lab #1,Python,,,,,,,,tasks
🟩 4c: Функції: лямбда-вирази черзе lambda,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 4d: Функції: вбудовані,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 4e: Функції: вкладені,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 5a: Область видимості: global,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟩 5b: Область видимості: nonlocal,,,🟢,,Python: Lab #1,Python,,,,,,,,tasks
🟦 2. Спадкування,,,🟢,,Python: Lab #3,Python,,,,,,,,tasks
🟦 3. Системний метод (типу __назва__),,,🟢,,Python: Lab #3,Python,,,,,,,,tasks
🟩 1. Підкреслення в іменах,,,🟢,,Python: Lab #3,Python,,,,,,,,tasks
