Название,Монеты,Категория,Описание задания,"Игры, давшие эту идею",use,Баллы,new?,Тип задания,Title
Случайное появление стен,1,Препятствие,Появление нового препятствия в случайном месте,,0,1,false,Свойство,🌀 🚧 Случайное появление стен
Вода,1,Препятствие,"Особый вид препятствия, через которое нельзя пройти, но зато выстрелы могут пролетать поверх неё",💥 5: Battle City,1,1,false,Элемент,🧩 🚧 Вода
Прозрачная стена,1,Препятствие,"Чем-то похоже на предыдущее задание ↑\nНо немного другой смысл: шарик пролетает через эту стену не останавливаясь, но поверх такой стены нельзя поставить диагональный щит",🧿 3: New Ball Game,0,1,false,Элемент,🧩 🚧 Прозрачная стена
Двери,1,Препятствие,"Особый вид препятствия, который можно открыть ключом",🗝 1: Лабиринт,8,1,false,Элемент,🧩 🚧 Двери
Автозакрытие двери (через N шагов),1,Препятствие,"Имеется в виду, что после того как дверь была открыта, она автоматически закроется, когда игрок сделает определённое количество (N) шагов",,0,1,false,Свойство,🌀 🚧 Автозакрытие двери (через N шагов)
Автозакрытие двери (через N секунд),1,Препятствие,"Имеется в виду, что после того как дверь была открыта игроком, она автоматически закроется через определённое количество (N) секунд",,0,1,false,Свойство,🌀 🚧 Автозакрытие двери (через N секунд)
Телепорт,1,Телепорт,"Любой элемент, телепортирующий игрока в другую клетку\nЕсли у вас несколько видов телепортов, используйте (”дублируйте”) для каждого из них это задания, и в отчёте описывайте каждый вид телепорта по отдельности",,11,1,false,Элемент,🧩 📡 Телепорт
Телепортация между двумя точками на экране,1,Телепорт,,🧿 3: New Ball Game,9,1,false,Свойство,🌀 📡 Телепортация между двумя точками на экране
Телепортация между трёмя и более точками на экране,1,Телепорт,,🧿 3: New Ball Game,0,1,false,Свойство,🌀 📡 Телепортация между трёмя и более точками на экране
Телепортация в случайное место на экране,1,Телепорт,,,2,1,false,Свойство,🌀 📡 Телепортация в случайное место на экране
Телепортация в случайное место на определённой области (части карты),1,Телепорт,,,0,1,false,Свойство,🌀 📡 Телепортация в случайное место на определённой области (части карты)
Телепортация в случайное место на небольшое расстояние рядом с игроком,1,Телепорт,,,0,1,false,Свойство,🌀 📡 Телепортация в случайное место на небольшое расстояние рядом с игроком
Случайная работоспособность телепорта,1,Телепорт,"Имеется в виду, что он может либо сработать, либо не сработать (случайная составляющая)",🧿 3: New Ball Game,2,1,false,Свойство,🌀 📡 Случайная работоспособность телепорта
Изменение направления движения,1,Движение,"Элемент изначально взят из игры New Ball Game, но вполне гармонично подходит для Inertia или Pac-Man, а также может использоваться и в других играх при определённых обстоятельствах.\nДля каждого вида изменения направления движения можно создавать отдельный игровой элемент (и соответственно дублировать это задание в отчёте, описывая каждый элемент по отдельности, и получая за каждый из них отдельный балл)",🧿 3: New Ball Game,6,1,false,Элемент,🧩 ➡️ Изменение направления движения
Изменение направления движения в определённую сторону,1,Движение,,🧿 3: New Ball Game,8,1,false,Свойство,🌀 ➡️ Изменение направления движения в определённую сторону
Изменение направления движения в случайном направлении,1,Движение,,🧿 3: New Ball Game,0,1,false,Свойство,🌀 ➡️ Изменение направления движения в случайном направлении
Изменение направления движения по (против) часовой стрелки,1,Движение,,🧿 3: New Ball Game,1,1,false,Свойство,🌀 ➡️ Изменение направления движения по (против) часовой стрелки
Ускорение движения,1,Движение,,🧿 3: New Ball Game,0,1,false,Элемент,🧩 ➡️ Ускорение движения
Замедление движения,1,Движение,,🧿 3: New Ball Game,1,1,false,Элемент,🧩 ➡️ Замедление движения
Инвентарь у игрока,1,"Инвентарь,Игрок",Возможность собирать предметы для дальнейшего их использования,,1,1,false,Свойство,🌀 🧳 🏃🏻‍♂️ Инвентарь у игрока
Ограниченный рюкзак для элементов,1,Инвентарь,"Есть ограничение на количество предметов в инвентаре (больше определённого количества нельзя разместить, новые попытки игнорируются, пока не будут использованы уже собранные предметы)",,0,1,false,Свойство,🌀 🧳 Ограниченный рюкзак для элементов
"Очень ограниченный рюкзак для элементов (например, всего на один)",1,Инвентарь,"При этом, например, когда собирается новый элемент, то старый из рюкзака автоматически выкладывается на его место",,0,1,false,Свойство,"🌀 🧳 Очень ограниченный рюкзак для элементов (например, всего на один)"
Выкладывание предмета из инвентаря,1,"Инвентарь,Игрок",Возможность выборочно выложить предмет из инвентаря без его использования (и с возможностью собрать его снова потом),,0,1,false,Свойство,🌀 🧳 🏃🏻‍♂️ Выкладывание предмета из инвентаря
Неограниченный рюкзак для элементов,1,Инвентарь,"Предметы можно собирать в неограниченном количестве (подразумевается, что их может быть действительно много и это учтено интерфейсно и программно)",,0,1,false,Свойство,🌀 🧳 Неограниченный рюкзак для элементов
Лом (уничтожитель стен),1,Инвентарь,"С помощью него можно уничтожать препятствия.\nПри этом он может быть как одноразовым, “несколько-разовым”, так и многоразовым.\nИ способ применения может быть различным.\nОпишите, как именно вы реализовали в отчёте ;)",,0,1,false,Элемент,🧩 🧳 Лом (уничтожитель стен)
Уничтожение стен (с помощью лома),1,Инвентарь,↑ свойство лома,,0,1,false,Свойство,🌀 🧳 Уничтожение стен (с помощью лома)
Мина,1,Инвентарь,"Её можно поставить на поле, и на ней подорвётся противник, когда наступит на неё",,0,1,false,Элемент,🧩 🧳 Мина
Уничтожение противника при наступании на мину,1,Инвентарь,↑ свойство мины,,0,1,false,Свойство,🌀 🧳 Уничтожение противника при наступании на мину
Ключ,1,"Инвентарь,Препятствие","Специальный элемент, который может открывать двери.\nОпишите в отчёте, одноразовые или многоразовые у вас ключи, есть ли разные цвета или типы ключей и т.п.",🗝 1: Лабиринт,8,1,false,Элемент,🧩 🧳 🚧 Ключ
Открытие двери ключом при соприкосновении,1,"Инвентарь,Препятствие","↑ Ключ автоматически используется, когда игрок подходит к соответствующей двери",🗝 1: Лабиринт,5,1,false,Свойство,🌀 🧳 🚧 Открытие двери ключом при соприкосновении
Ручное использование ключа,1,"Инвентарь,Препятствие","↑ Ключ не используется автоматически, его нужно активировать/выбирать вручную",🗝 1: Лабиринт,0,1,false,Свойство,🌀 🧳 🚧 Ручное использование ключа
Удалённое открытие двери ключом,1,"Инвентарь,Препятствие",↑ Ключ может быть активирован на расстоянии (не обязательно подходить к двери вплотную),🗝 1: Лабиринт,0,1,false,Свойство,🌀 🧳 🚧 Удалённое открытие двери ключом
Бомбочка (с отложенным взрывом),1,Инвентарь,"Через некоторое время после активации взрывается, захватывая некоторую область","💰 4: Lode Runner,💣 8: Bomberman",1,1,false,Элемент,🧩 🧳 Бомбочка (с отложенным взрывом)
След от взрыва бомбочки,1,"Прочие,Инвентарь","Некоторое время после взрыва может отображаться и быть опасным, но потом исчезает",💣 8: Bomberman,2,1,false,Элемент,🧩 ⛓ 🧳 След от взрыва бомбочки
Взрывание на некоторой области,1,Инвентарь,↑ свойство бомбочки,"💰 4: Lode Runner,💣 8: Bomberman",2,1,false,Свойство,🌀 🧳 Взрывание на некоторой области
Таймер обратного отсчёта на бомбочке,1,Инвентарь,Отрисовка таймера обратного отсчёта на бомбочке (оставшееся время до взрыва),💣 8: Bomberman,0,1,false,Интерфейс,✏️ 🧳 Таймер обратного отсчёта на бомбочке
Верёвочная ловушка,1,Инвентарь,"Если поставить, то на ней может пойматься противник (при этом он не умирает, а “висит” на ней, и тем самым не появляется снова в точке респауна).\nОпционально можно реализовать, что и игрок также может “попасться” на этом элементе.",💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Верёвочная ловушка
Ловушка для противника (становится неактивным),1,Инвентарь,↑ свойство верёвочной ловушки,💰 4: Lode Runner,0,1,false,Свойство,🌀 🧳 Ловушка для противника (становится неактивным)
Дрель,1,Инвентарь,Может пробивать любые стены вниз,💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Дрель
Уничтожение стен под игроком (с помощью дрели),1,Инвентарь,↑ свойство дрели,💰 4: Lode Runner,0,1,false,Свойство,🌀 🧳 Уничтожение стен под игроком (с помощью дрели)
Газовый пистолет,1,Инвентарь,"Идея взята из Lode Runner (Legend Returns):\nНекоторая область временно покрывается газовым облаком ↓ при этом противники, находящиеся в нём или попадающие в него — временно дизориентируются ↓",💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Газовый пистолет
Газовое облако,1,Инвентарь,"↑ элемент, появляющийся из газового пистолета",💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Газовое облако
Временная дизориентация противника,1,Инвентарь,↑ свойство газового пистолета,💰 4: Lode Runner,0,1,false,Свойство,🌀 🧳 Временная дизориентация противника
Банка с клеем,1,Инвентарь,"Идея взята из Lode Runner (Legend Returns):\nМожно разлить банку с клеем на несколько клеток вперёд, и тогда перемещение по ним будет замедленным (как для противников, так и для игрока)",💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Банка с клеем
Клетка с клеем,1,Инвентарь,"↑ элемент, появляющийся с помощью банки с клеем",💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Клетка с клеем
Замедление движение по клетке,1,"Инвентарь,Движение",Игрок или мяч замедляет своё движение пока находится на этой клетке,💰 4: Lode Runner,0,1,false,Свойство,🌀 🧳 ➡️ Замедление движение по клетке
Кирка,1,Инвентарь,Идея взята из Lode Runner (Legend Returns):\nПри использовании кирки игрок может создать препятствие из камней с «потолка»,💰 4: Lode Runner,0,1,false,Элемент,🧩 🧳 Кирка
Создание препятствия из камней,1,Инвентарь,↑ свойство элемента (создание препятствия),💰 4: Lode Runner,0,1,false,Свойство,🌀 🧳 Создание препятствия из камней
Препятствие из камней,1,Инвентарь,↑ создаётся киркой,,0,1,false,Элемент,🧩 🧳 Препятствие из камней
Бонусы/антибонусы расставляются случайным образом в начале игры,1,"Бонус,Анти-бонус",,,3,1,false,Свойство,🌀 ➕ ➖ Бонусы/антибонусы расставляются случайным образом в начале игры
Бонусы/антибонусы появляются на поле время от времени,1,"Бонус,Анти-бонус",,💥 5: Battle City,0,1,false,Свойство,🌀 ➕ ➖ Бонусы/антибонусы появляются на поле время от времени
Бонусы/антибонусы появляются во время взрыва препятствия,1,"Бонус,Анти-бонус",То есть могут появиться с определённой вероятностью,💣 8: Bomberman,1,1,false,Свойство,🌀 ➕ ➖ Бонусы/антибонусы появляются во время взрыва препятствия
Бонусы/антибонусы появляются по мере достижения определённых этапов или позиций игры,1,"Бонус,Анти-бонус","Например, новые бонусы (или виды бонусов) появляются спустя некоторое время, или пройдя определённую часть карты, или собрав определённое количество очков и т.п.\nОпишите в отчёте, как именно реализовали вы :)",,0,1,false,Свойство,🌀 ➕ ➖ Бонусы/антибонусы появляются по мере достижения определённых этапов или позиций игры
Бонусы/антибонусы перемещаются по карте,1,"Бонус,Анти-бонус",,,0,1,false,Свойство,🌀 ➕ ➖ Бонусы/антибонусы перемещаются по карте
Дополнительная жизнь,1,Бонус,,💣 8: Bomberman,1,1,false,Элемент,🧩 ➕ Дополнительная жизнь
Уменьшение жизней,1,Анти-бонус,,,6,1,false,Элемент,🧩 ➖ Уменьшение жизней
Изменение количества жизней,1,"Бонус,Анти-бонус",Изменение количества жизней у игрока (плюс или минус),,5,1,false,Свойство,🌀 ➕ ➖ Изменение количества жизней
Дополнительные патроны или боезапас,1,Бонус,,,0,1,false,Элемент,🧩 ➕ Дополнительные патроны или боезапас
Уменьшение патронов или боезапаса,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Уменьшение патронов или боезапаса
Изменение количества патронов или боезапаса,1,"Бонус,Анти-бонус",Плюс или минус,,0,1,false,Свойство,🌀 ➕ ➖ Изменение количества патронов или боезапаса
Улучшение выстрелов или взрывов,1,Бонус,,"💥 5: Battle City,💣 8: Bomberman",1,1,false,Элемент,🧩 ➕ Улучшение выстрелов или взрывов
Ухудшение выстрелов или взрывов,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Ухудшение выстрелов или взрывов
Изменение выстрелов или взрывов,1,"Бонус,Анти-бонус",,,1,1,false,Свойство,🌀 ➕ ➖ Изменение выстрелов или взрывов
Ускорение игрока,1,Бонус,,💣 8: Bomberman,2,1,false,Элемент,🧩 ➕ Ускорение игрока
Замедление игрока,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Замедление игрока
Изменение скорости перемещения игрока,1,"Движение,Бонус,Анти-бонус",Изменение скорости перемещения игрока,🧿 3: New Ball Game,2,1,false,Свойство,🌀 ➡️ ➕ ➖ Изменение скорости перемещения игрока
"Дополнительное время (например, на прохождение уровня)",1,Бонус,,,0,1,false,Элемент,"🧩 ➕ Дополнительное время (например, на прохождение уровня)"
Уменьшение оставшегося времени,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Уменьшение оставшегося времени
Изменение оставшегося времени,1,Бонус,,,0,1,false,Свойство,🌀 ➕ Изменение оставшегося времени
Замедление противников (на некоторое время),1,Бонус,,,0,1,false,Элемент,🧩 ➕ Замедление противников (на некоторое время)
Ускорение противников (на некоторое время),1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Ускорение противников (на некоторое время)
Изменение скорости противников (на некоторое время),1,Бонус,,,0,1,false,Свойство,🌀 ➕ Изменение скорости противников (на некоторое время)
Дополнительные бомбочки,1,Бонус,,"💰 4: Lode Runner,💣 8: Bomberman",1,1,false,Элемент,🧩 ➕ Дополнительные бомбочки
Уменьшение бомбочек,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Уменьшение бомбочек
Изменение количества бомбочек,1,Бонус,,,1,1,false,Свойство,🌀 ➕ Изменение количества бомбочек
Улучшение прочности/бронированности игрока,1,Бонус,,💥 5: Battle City,2,1,false,Элемент,🧩 ➕ Улучшение прочности/бронированности игрока
Ухудшение прочности/бронированности,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Ухудшение прочности/бронированности
Изменение бронированности игрока,1,Бонус,,,1,1,false,Свойство,🌀 ➕ Изменение бронированности игрока
Дополнительные очки (бонус),1,Бонус,,,1,1,false,Элемент,🧩 ➕ Дополнительные очки (бонус)
Уменьшение очков,1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Уменьшение очков
Изменение количества очков (score),1,"Приз,Бонус,Анти-бонус",Добавление или уменьшение некоторого количества очков (score) у текущего результата игрока,,8,1,false,Свойство,🌀 💰 ➕ ➖ Изменение количества очков (score)
Временная неуязвимость,2,Бонус,В некотором смысле временное бессмертие,"💥 5: Battle City,💣 8: Bomberman",1,2,false,Элемент,🧩 ➕ Временная неуязвимость
Бронирование «базы»,2,Бонус,"Идея взята из игры Battle City (“Танчики”): временное бронирование клеток, окружающих базу",💥 5: Battle City,0,2,false,Элемент,🧩 ➕ Бронирование «базы»
Проходимость сквозь стены (временная),2,Бонус,,,0,2,false,Элемент,🧩 ➕ Проходимость сквозь стены (временная)
Уничтожение всех противников (но потом могут появиться новые),2,Бонус,,💥 5: Battle City,0,2,false,Элемент,🧩 ➕ Уничтожение всех противников (но потом могут появиться новые)
Остановка движения противников (на некоторое время),2,Бонус,,💥 5: Battle City,0,2,false,Элемент,🧩 ➕ Остановка движения противников (на некоторое время)
Временная дезориентация (курсорные клавиши меняются),2,Анти-бонус,,,1,2,false,Элемент,🧩 ➖ Временная дезориентация (курсорные клавиши меняются)
"Случайный приз (не известно, что он значит, пока не собрать его)",1,Бонус,,,0,1,false,Элемент,"🧩 ➕ Случайный приз (не известно, что он значит, пока не собрать его)"
Случайный анти-бонус (один из возможных),1,Анти-бонус,,,0,1,false,Элемент,🧩 ➖ Случайный анти-бонус (один из возможных)
Выбор случайного бонуса или анти-бонуса,1,Бонус,,,0,1,false,Свойство,🌀 ➕ Выбор случайного бонуса или анти-бонуса
Расширяющийся элемент (субстанция),1,Расширение,"Элемент, который время от времени распространяется (дублируется) на соседние клетки.\nЕсли у вас несколько типов этих элементов — создавайте для каждого из них это задание","💎 2: Boulder Dash,🧿 3: New Ball Game",0,1,false,Элемент,🧩 🦠 Расширяющийся элемент (субстанция)
Расширение элемента на соседние свободные клетки,2,Расширение,↑ Свойство расширяющегося элемента,,0,2,false,Свойство,🌀 🦠 Расширение элемента на соседние свободные клетки
Проходимая субстанция,1,Расширение,Проходимая субстанция (шарик или игрок или выстрелы проходят сквозь неё),🧿 3: New Ball Game,0,1,false,Свойство,🌀 🦠 Проходимая субстанция
Непроходимая и неуничтожимая субстанция,1,Расширение,"Сквозь субстанцию нельзя пройти, но её можно уничтожать",,1,1,false,Свойство,🌀 🦠 Непроходимая и неуничтожимая субстанция
"Непроходимая, но уничтожимая субстанция",1,Расширение,,,0,1,false,Свойство,"🌀 🦠 Непроходимая, но уничтожимая субстанция"
Ядовитая субстанция,1,Расширение,Соприкосновение смертельно для игрока,,1,1,false,Свойство,🌀 🦠 Ядовитая субстанция
"Если субстанция не может дальше расширяться, она превращается в кристаллы или монеты",1,Расширение,,💎 2: Boulder Dash,0,1,false,Свойство,"🌀 🦠 Если субстанция не может дальше расширяться, она превращается в кристаллы или монеты"
"Если субстанция не может дальше расширяться, она превращается в камни",1,Расширение,,💎 2: Boulder Dash,0,1,false,Свойство,"🌀 🦠 Если субстанция не может дальше расширяться, она превращается в камни"
Обязательный приз,1,Приз,"Чтобы пройти уровень, нужно обязательно все призы","💰 4: Lode Runner,👻 9: Pac-Man",8,1,false,Элемент,🧩 💰 Обязательный приз
Победа при получении определённого количества очков,1,"Финиш,Приз","Игрок побеждает, когда соберёт определённое количество очков",,6,1,false,Свойство,🌀 🏁 💰 Победа при получении определённого количества очков
Необязательный приз,1,Приз,Приз просто дающий дополнительные очки (score),,10,1,false,Элемент,🧩 💰 Необязательный приз
Лёд,2,Прочие,На нём происходит скольжение игрока и противников\nТо есть небольшое движение вперёд по инерции,💥 5: Battle City,0,2,false,Элемент,🧩 ⛓ Лёд
Динамит,1,Прочие,"Если двинуть камень на него, то он взрывается\nМожно придумать другие способы детонации",,0,1,false,Элемент,🧩 ⛓ Динамит
Взрыв элемента при соприкосновении с другим элементов,1,Прочие,↑ свойство динамита,,1,1,false,Свойство,🌀 ⛓ Взрыв элемента при соприкосновении с другим элементов
Энерджайзер,2,Прочие,При его собирании противники временно начинают убегать от нас,👻 9: Pac-Man,1,2,false,Элемент,🧩 ⛓ Энерджайзер
Неподвижные ловушки,1,Противник,"Игрок погибает, когда попадает в них (или теряет жизни и т.п.)","🧿 3: New Ball Game,🏂 7: Inertia",11,1,false,Элемент,🧩 🤖 Неподвижные ловушки
Подвижный противник,1,Противник,Противник перемещается по карте\nЕсли у вас несколько видов противника — создавайте (дублируйте) для каждого из них это задание,,17,1,false,Элемент,🧩 🤖 Подвижный противник
Лес,2,Прочие,В зарослях леса почти не видно игрока и противников (визуально),💥 5: Battle City,0,2,false,Элемент,🧩 ⛓ Лес
Точка сохранения,2,Прочие,Когда игрок погибает он может продолжить игру с этой точки,,0,2,false,Элемент,🧩 ⛓ Точка сохранения
Пряталка,2,Прочие,В этой клетке можно спрятаться от врагов (при этом они потеряют вас из виду и будут проходить мимо),💰 4: Lode Runner,0,2,false,Элемент,🧩 ⛓ Пряталка
Преобразователь камней в кристалы,2,Прочие,"Идея игрового элемента взята из Boulder Dash\nКогда камни падают на него сверху, то они превращаются в кристаллы и падают дальше вниз",💎 2: Boulder Dash,0,2,false,Элемент,🧩 ⛓ Преобразователь камней в кристалы
Частично-обязательный приз,1,Приз,"Чтобы пройти уровень, нужно собрать определенное количество призов (не обязательно все), остальные призы (сверх этого количества) просто дают дополнительные очки",💎 2: Boulder Dash,0,1,false,Элемент,🧩 💰 Частично-обязательный приз
Призы перемещаются по карте,1,Приз,,👻 9: Pac-Man,0,1,false,Свойство,🌀 💰 Призы перемещаются по карте
Камни,1,Препятствие,"Особый “перемещаемый” вид препятствий.\nМогут падают вниз, могут перемещаться игроком, могут убить игрока, если упадут на него",💎 2: Boulder Dash,7,1,false,Элемент,🧩 🚧 Камни
Раскол камней при падении с большой высоты,1,Препятствие,"Например, если высота при падении была слишком большой, то камень исчезает с карты",,0,1,false,Свойство,🌀 🚧 Раскол камней при падении с большой высоты
Гравитация (базовый вариант),1,Препятствие,Падение вниз для элементов (изначально в рамках игры Boulder Dash это касалось камней и кристаллов),💎 2: Boulder Dash,5,1,false,Свойство,🌀 🚧 Гравитация (базовый вариант)
Плавная гравитация,1,Препятствие,"↑ Дополнение к заданию 🌀 🚧 Гравитация (базовый вариант): падение должно быть не мгновенным, а плавным (чтобы был виден процесс падения)\nВыбирайте оба эти задания, чтобы получить в итоге суммарно 2 балла за хорошую гравитацию",💎 2: Boulder Dash,4,1,false,Свойство,🌀 🚧 Плавная гравитация
Перемещаемость элемента,1,Препятствие,"Изначально касалось камней в рамках игры Boulder Dash, но может быть распространено и на некоторые другие элементы",💎 2: Boulder Dash,4,1,false,Свойство,🌀 🚧 Перемещаемость элемента
Лестница,2,Прочие,Для возможности перемещения по ней по вертикали,💰 4: Lode Runner,3,2,false,Элемент,🧩 ⛓ Лестница
Изменение иконки игрока на лестнице,1,Прочие,,,1,1,false,Свойство,🌀 ⛓ Изменение иконки игрока на лестнице
Натянутая веревка,2,Прочие,Для возможности перемещения по ней по горизонтали,💰 4: Lode Runner,0,2,false,Элемент,🧩 ⛓ Натянутая веревка
Изменение иконки игрока на натянутой верёвке,1,Прочие,,,0,1,false,Свойство,🌀 ⛓ Изменение иконки игрока на натянутой верёвке
База,2,Прочие,Идея взята из игры “Танчики” (Battle City)\nЭтот игровой элемент надо защищать от противников,💥 5: Battle City,1,2,false,Элемент,🧩 ⛓ База
Невидимая мина,2,Прочие,"Идея взята из игры Mined-Out (или Сапёр)\nНевидимая мина, которую можно определять находясь рядом (количество мин в соседних клетках)",🧨 6: Mined-Out,0,2,false,Элемент,🧩 ⛓ Невидимая мина
Случайное перемещение,1,Противник,Противник перемещается в случайную соседнюю клетку,,4,1,false,Свойство,🌀 🤖 Случайное перемещение
Простое движение,1,Противник,"Например, движется по кругу или просто вперёд-назад и т.п.",,4,1,false,Свойство,🌀 🤖 Простое движение
Движение по периметру,1,Противник,"Например, всегда поворачивает вправо, когда встречает препятствие, или всегда идёт вдоль стены и т.п.",💎 2: Boulder Dash,3,1,false,Свойство,🌀 🤖 Движение по периметру
Может проходить сквозь стены,1,Противник,,💣 8: Bomberman,1,1,false,Свойство,🌀 🤖 Может проходить сквозь стены
Повторяет за игроком его ходы,1,Противник,,🧨 6: Mined-Out,1,1,false,Свойство,🌀 🤖 Повторяет за игроком его ходы
Скорость перемещения выше игрока,1,Противник,,,3,1,false,Свойство,🌀 🤖 Скорость перемещения выше игрока
Скорость перемещения ниже игрока,1,Противник,,,7,1,false,Свойство,🌀 🤖 Скорость перемещения ниже игрока
Скорость перемещения меняется,1,Противник,,,5,1,false,Свойство,🌀 🤖 Скорость перемещения меняется
Появление новых противников случайным образом,1,Противник,,,1,1,false,Свойство,🌀 🤖 Появление новых противников случайным образом
Появление новых противников по определённому алгоритму,1,Противник,,💥 5: Battle City,0,1,false,Свойство,🌀 🤖 Появление новых противников по определённому алгоритму
Появление убитых противников на точках респауна,1,Противник,,"💰 4: Lode Runner,👻 9: Pac-Man",0,1,false,Свойство,🌀 🤖 Появление убитых противников на точках респауна
Противники стреляют на расстоянии,2,Противник,,💥 5: Battle City,2,2,false,Свойство,🌀 🤖 Противники стреляют на расстоянии
Противник атакует находясь рядом,1,Противник,(соседнюю клетку),,4,1,false,Свойство,🌀 🤖 Противник атакует находясь рядом
"Противник атакует, занимая клетку игрока",1,Противник,,"💰 4: Lode Runner,💣 8: Bomberman,👻 9: Pac-Man",6,1,false,Свойство,"🌀 🤖 Противник атакует, занимая клетку игрока"
Возможность стрельбы для игрока,1,Игрок,"В самом простом виде это может быть хотя бы “мгновенный выстрел”, когда пуля достигает цели сразу.\nЕсли же сделаете плавный полёт пули берите себе в отчёт ещё пару заданий ниже ↓",💥 5: Battle City,0,1,false,Свойство,🌀 🏃🏻‍♂️ Возможность стрельбы для игрока
Пуля,1,Игрок,"Летящий снаряд, запускаемый игроком при стрельбе",💥 5: Battle City,1,1,false,Элемент,🧩 🏃🏻‍♂️ Пуля
Постепенный полёт пули,1,Игрок,Постепенное движение летящего снаряда пока он не достигнет цели,💥 5: Battle City,1,1,false,Свойство,🌀 🏃🏻‍♂️ Постепенный полёт пули
Противник при своём уничтожении превращается в кристаллы,1,Противник,,💎 2: Boulder Dash,1,1,false,Свойство,🌀 🤖 Противник при своём уничтожении превращается в кристаллы
Разная прочность у разных противников,1,Противник,,💥 5: Battle City,2,1,false,Свойство,🌀 🤖 Разная прочность у разных противников
Наивный противник,2,Противник,"Противник двигается навстречу игроку, но при этом не учитывает наличие препятствий (то есть может упереться в преграду и “тупить”)",,3,2,false,Свойство,🌀 🤖 Наивный противник
Умный противник,4,Противник,"Некоторый алгоритм поведения, обычно зависящий от игрока (например, для движения к игроку можно использовать волновой алгоритм с учётом препятствий и т.п.)\nВ зависимости от сложности алгоритма количество монет может быть увеличено/уменьшено",,7,4,false,Алгоритм,⚛️ 🤖 Умный противник
Интеллектуальный противник,8,Противник,"Нечто более сложное и интересное, чем просто ""умный"" противник.\nНапример, он может как-то анализировать поведение игрока, или двигаться наперехват, или предугадывать его действия, или устраивать ловушки, или ждать в ключевых точках если нужно и т.п.\nВ зависимости от сложности алгоритма количество монет может быть увеличено/уменьшено",,3,8,false,Алгоритм,⚛️ 🤖 Интеллектуальный противник
Противник может собирать призы или монетки,1,Противник,Противник может собирать призы или монетки,💰 4: Lode Runner,1,1,false,Свойство,🌀 🤖 Противник может собирать призы или монетки
Противник отдаёт монеты при погибании,1,Противник,↑ при этом при уничтожении противника он их “отдаёт”,💰 4: Lode Runner,0,1,false,Свойство,🌀 🤖 Противник отдаёт монеты при погибании
Противник иногда выбрасывает монеты,1,Противник,"↑ просто выбрасывает иногда собранные монеты в случайных местах, тем самым как бы перемещая их по карте",💰 4: Lode Runner,0,1,false,Свойство,🌀 🤖 Противник иногда выбрасывает монеты
Противник может использовать инвентарь игрока,4,Противник,"Те элементы, которые игрок может собирать в свой инвентарь — может собирать и противник, а также он может использовать их против игрока\nВ зависимости от сложности алгоритма количество монет может быть увеличено/уменьшено",,0,4,false,Свойство,🌀 🤖 Противник может использовать инвентарь игрока
Усложнённая генерация уровней,4,Уровни,"Особые алгоритмы генерации задающие принципы генерации (например, особые случайные области с элементами, или расстановка ключей и дверей, или случайная генерация лабиринта и т.п.), то есть не только обычный банальный рандом",,7,4,false,Алгоритм,⚛️ 🎛 Усложнённая генерация уровней
Интеллектуальная генерация уровней,8,Уровни,"Например, использование особых шаблонов, формирование сложных схем, хитрые алгоритмы, и в итоге уровни получаются красиво/интересно выглядящими (как будто человек мог их так придумать/продумать) или их прохождение требует определённой заложенной алгоритмом “смекалки” и т.п.\nВ зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,3,8,false,Алгоритм,⚛️ 🎛 Интеллектуальная генерация уровней
Проверка проходимости уровня,4,Уровни,"Нечто более или менее базовое, например, проверка наличия пути до выхода, возможности собрать все призы и т.п.",,3,4,false,Алгоритм,⚛️ 🎛 Проверка проходимости уровня
Особая проверка проходимости уровня,8,Уровни,"Дополнительные проверки, использующие особенности игровой механики для прохождения уровня (например, перемещение камней, использование инвентаря, учёт поведения противников и т.п.)\nВ зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,0,8,false,Алгоритм,⚛️ 🎛 Особая проверка проходимости уровня
Подсказка для прохождения уровня,4,Уровни,"Опциональная подсказка или режим игры с постоянными подсказками: какой сделать следующий шаг или несколько шагов, чтобы в итоге победить\nВ зависимости от сложности алгоритмов количество монет может быть увеличено или уменьшено",,1,4,false,Алгоритм,⚛️ 🎛 Подсказка для прохождения уровня
Эмуляция прохождения уровня (без алгоритма),3,Уровни,Просто захардкодженные действия (как бы визуально ходим вместо игрока),,0,3,false,Интерфейс,✏️ 🎛 Эмуляция прохождения уровня (без алгоритма)
