Название,Монеты,Категория,Описание задания,"Игры, давшие эту идею",use,Баллы,new?,Тип задания,Title
Двойной прыжок,1,Игрок,Позволяет выполнить прыжок дважды\nИдея из игры: CS:GO\nПрототип: двойной прыжок\nhttps://steamcommunity.com/sharedfiles/filedetails/?id=2304560178,,0,1,true,Свойство,🌀 🏃🏻‍♂️ Двойной прыжок
Прыжок,1,Игрок,Позволяет выполнить прыжок,13: Fireboy And Watergirl,0,1,true,Свойство,🌀 🏃🏻‍♂️ Прыжок
Диалог с пользователем: при попытке закрыть форму,1,Меню,"В GUI версии игры при попытке закрыть форму вызывает диалог с пользователем, который позволяет предотвратить случайное закрытие формы",Почти во всех играх,7,1,true,Интерфейс,✏️ 🎹 Диалог с пользователем: при попытке закрыть форму
Многоязычный интерфейс,1,Меню,Позволяет играть в игру на двух и более языках,Почти во всех играх,1,1,true,Интерфейс,✏️ 🎹 Многоязычный интерфейс
Игра по локальной сети,4,Прочие,Одна из возможных реализаций пункта “Игра по сети”. Позволяет играть внутри локальной сети на разных компьютерах,Почти во всех играх,0,4,true,Разное,⭕️ ⛓ Игра по локальной сети
Игра по сети “Интернет”,4,Прочие,Одна из возможных реализаций пункта “Игра по сети”. Позволяет играть через сеть интернет,Почти во всех играх,0,4,true,Разное,⭕️ ⛓ Игра по сети “Интернет”
Медпункт,1,Бонус,"Клетка, при нахождении в которой или возле нее игрок восстанавливает жизни/здоровье",,0,1,true,Элемент,🧩 ➕ Медпункт
Ремонтная база,1,Бонус,"Клетка, при нахождении в которой или возле нее игрок восстанавливает очки брони",,0,1,true,Элемент,🧩 ➕ Ремонтная база
Артиллерийская поддержка/бомбардировка с воздуха,1,Бонус,"По заданной клетки или диапазону клеток наносится артиллерийский удар/воздушный удар, который наносит урон всем, кто находится в заданной области",,0,1,true,Алгоритм,⚛️ ➕ Артиллерийская поддержка/бомбардировка с воздуха
Горение танка,1,Анти-бонус,"Танк игрока горит, со временем уменьшается количество жизней игрока.\nИдея из игры War Thunder (горение танка)",,0,1,true,Свойство,🌀 ➖ Горение танка
Огнетушитель,1,Бонус,Позволяет потушить пожар в танке.\nИдея из игры War Thunder (огнетушитель),,0,1,true,Свойство,🌀 ➕ Огнетушитель
Осколочный снаряд,1,Бонус,"Особый тип снаряда танка. Особенность заключается в том, что при взрыве создает осколки, которые поражают технику на расстоянии нескольких клеток от места, в котором взорвался снаряд\nИдея из игры War Thunder (осколочный снаряд)",,0,1,true,Свойство,🌀 ➕ Осколочный снаряд
Подкалиберный снаряд,1,Бонус,"Особый тип снаряда танка. Особенность заключается в том, что при взрыве наносит повышенный урон врагу\nИдея из игры War Thunder (подкалиберный снаряд)",,0,1,true,Свойство,🌀 ➕ Подкалиберный снаряд
Переключение снарядов для танка,1,Бонус,"Особенность заключается в том, что игрок имеет возможность переключать тип снаряда, которым он будет стрелять\nИдея из игры War Thunder (смена типов снарядов)",,0,1,true,Свойство,🌀 ➕ Переключение снарядов для танка
Видеозаставки победы/поражения,2,Уровни,"При победе/поражении запускается соответствующий видеофрагмент, который показывает небольшую сцену победы/поражения",,3,2,true,Разное,⭕️ 🎛 Видеозаставки победы/поражения
